gene,shoot_control_1,shoot_control_2,shoot_control_3,shoot_ABA_1,shoot_ABA_2,shoot_ABA_3
AT1G04440,3324,5930,3237,10860,8196,6804
AT1G04445,0,6,2,10,10,5
AT1G04450,0,0,0,0,0,1
AT1G04470,13,20,12,12,16,6
AT1G04480,9804,14086,9204,9140,8563,8394
AT1G04490,39,62,51,85,107,97
AT1G04500,65,42,102,72,39,69
AT1G04501,0,0,0,0,0,0
AT1G04510,3351,5813,3055,3628,4115,3579
AT1G04520,1455,2035,1305,594,886,841
AT1G04530,2736,4060,2018,2536,2566,1666
AT1G04540,42,108,105,107,118,79
AT1G04550,1246,2193,1089,1122,1413,887
AT1G04555,240,451,257,600,577,417
AT1G04560,0,0,0,342,175,147
AT1G04570,45,89,33,37,157,133
AT1G04580,9,4,4,31,20,66
AT1G04590,1500,2433,1486,1469,1634,1470
AT1G04600,42,22,36,42,52,62
AT1G04610,66,66,64,42,25,31
AT1G04620,1662,2336,1254,3204,2582,1935
AT1G04625,141,149,85,172,160,99
AT1G04630,1668,2404,1552,2469,2531,1808
AT1G04635,178,254,200,164,125,162
AT1G04640,1774,2724,1399,2298,1513,1109
AT1G04645,2,0,2,0,0,0
AT1G04650,159,193,155,160,194,167
AT1G04660,9,42,10,31,33,4
AT1G04670,4,0,0,0,0,0
AT1G04680,2452,5266,2458,3950,3731,3110
AT1G04684,0,0,0,0,0,0
AT1G04690,4954,7485,4873,10049,12184,10675
AT1G04700,128,282,161,310,317,196
AT1G04710,1464,2309,1109,2055,2101,1592
AT1G04720,0,0,0,0,0,0
AT1G04730,561,557,487,580,397,545
AT1G04750,3783,5799,3655,6135,6490,5155
AT1G04760,101,91,58,88,70,127
AT1G04770,1631,3072,1970,3145,2126,1811
AT1G04778,12,17,13,20,29,23
AT1G04780,2878,4854,2750,6135,7237,5372
AT1G04790,1231,2016,1161,2314,2152,1637
AT1G04800,3220,7528,3634,1908,3764,2068
AT1G04810,3251,6012,2908,6007,7265,5701
AT1G04820,18406,27690,17466,23408,31789,25267
AT1G04830,956,1649,880,2403,3355,2388
AT1G04840,103,139,133,158,129,109
AT1G04850,4417,7172,4548,8986,9143,7387
AT1G04860,2359,4035,2173,3469,3351,2811
AT1G04870,2251,4176,2431,1778,1900,1965
AT1G04880,34,62,42,21,35,41
AT1G04890,0,0,0,0,0,0
AT1G04900,1142,1517,1176,1079,1017,1143
AT1G04910,1544,2314,1539,2802,2804,2400
AT1G04920,90,129,55,151,188,143
AT1G04930,289,531,290,384,553,363
AT1G04940,3945,5270,2300,4149,4628,2821
AT1G04945,4977,6982,3425,5040,5550,3682
AT1G04950,1233,1904,1119,1977,1972,1491
AT1G04960,1319,2754,1266,2622,3326,2154
AT1G04970,1859,3286,1544,4937,5524,4462
AT1G04980,1382,2605,2097,1441,1773,2000
AT1G04985,2062,3585,1719,4130,3556,2772
AT1G04990,1777,2650,1496,6057,7468,6558
AT1G05000,1031,1802,1544,1926,1235,1597
AT1G05010,30660,83630,26226,47976,64933,26331
AT1G05020,223,497,184,355,230,145
AT1G05030,838,1243,615,1470,1185,803
AT1G05040,4,2,4,4,0,0
AT1G05055,713,976,620,796,813,766
AT1G05060,934,1721,977,1449,1986,1195
AT1G05065,81,80,37,73,106,97
AT1G05070,968,1464,818,1242,1828,1343
AT1G05080,0,2,0,0,0,0
AT1G05085,0,2,0,0,0,0
AT1G05090,121,260,164,289,276,246
AT1G05100,21,55,54,2047,4772,2685
AT1G05120,1096,1646,1088,2189,2053,1791
AT1G05136,13,27,16,47,58,54
AT1G05140,2353,4266,1691,3435,4298,2714
AT1G05150,1631,2298,1388,2429,2649,2048
AT1G05160,568,703,493,958,829,676
AT1G05170,755,1457,579,947,2973,1508
AT1G05180,2217,3668,2207,3001,2958,2566
AT1G05190,20137,29842,11636,25819,27236,14073
AT1G05200,2789,4342,2364,3001,3410,2645
AT1G05205,848,1290,736,1257,1233,942
AT1G05210,277,397,263,230,196,205
AT1G05220,283,549,207,605,565,363
AT1G05230,1155,2695,907,2929,3130,1576
AT1G05240,3,5,3,0,1,0
AT1G05250,5,4,0,0,0,0
AT1G05260,1059,1341,1177,2095,2072,1404
AT1G05270,1565,2905,1429,2979,2576,2147
AT1G05280,97,120,98,90,51,104
AT1G05290,1,0,0,0,0,0
AT1G05291,1,0,0,0,0,0
AT1G05300,724,1654,1203,211,170,203
AT1G05310,77,176,109,152,138,132
AT1G05320,1249,2601,1333,2324,2226,1739
AT1G05330,4,4,6,8,9,5
AT1G05340,326,660,316,9885,8030,4618
AT1G05350,1517,2629,1469,2685,2754,2199
AT1G05360,737,986,617,1227,1154,1197
AT1G05370,167,210,160,145,214,148
AT1G05380,2055,3194,2035,4021,4002,3517
AT1G05385,729,1251,461,836,730,422
AT1G05390,0,0,0,1,0,0
AT1G05400,73,104,76,107,82,115
AT1G05410,951,1612,1111,1648,1454,1303
AT1G05420,33,48,53,129,103,133
AT1G05430,1566,2638,1491,2474,2862,2036
AT1G05440,104,109,71,69,90,121
AT1G05450,24,33,23,1664,1426,1293
AT1G05460,556,901,552,767,862,563
AT1G05470,734,924,711,511,587,607
AT1G05490,35,22,34,78,81,101
AT1G05500,1804,3236,1694,3537,4276,3309
AT1G05510,10,14,2,108,117,32
AT1G05520,2525,4373,2753,4246,5320,4784
AT1G05530,49,35,36,6,304,26
AT1G05540,224,486,159,249,508,219
AT1G05550,6,14,4,8,12,14
AT1G05560,17356,35971,10534,26505,54671,35149
AT1G05562,14501,31681,9068,22436,48390,30688
AT1G05570,1973,2954,1859,1624,1424,1283
AT1G05575,650,2463,801,436,1020,452
AT1G05577,8,9,3,20,6,14
AT1G05580,0,0,1,0,0,0
AT1G05590,634,982,468,903,1063,759
AT1G05600,323,490,251,526,502,332
AT1G05610,30,24,32,19,31,35
AT1G05615,0,0,0,0,0,0
AT1G05620,893,1246,920,1746,1771,1849
AT1G05630,672,1402,785,997,1057,867
AT1G05640,160,180,156,219,149,183
AT1G05650,26,59,35,2,4,0
AT1G05660,33,63,85,10,4,14
AT1G05670,404,796,483,622,576,622
AT1G05675,1116,5260,1626,877,1262,375
AT1G05680,8131,23580,7124,7113,26885,10597
AT1G05690,284,466,146,252,523,254
AT1G05700,356,545,460,25,15,27
AT1G05710,750,876,821,859,927,1077
AT1G05720,1015,1524,923,1870,1757,1352
AT1G05730,439,787,604,798,741,627
AT1G05740,4,6,1,0,0,8
AT1G05750,552,845,531,816,707,631
AT1G05760,160,269,217,260,273,266
AT1G05770,46,29,35,26,32,44
AT1G05780,440,580,407,778,653,585
AT1G05785,350,448,280,552,515,440
AT1G05790,1112,1728,945,2420,2252,1877
AT1G05800,0,2,0,0,0,2
AT1G05805,1134,1768,1019,2010,1335,1134
AT1G05810,458,960,382,703,655,299
AT1G05820,245,274,178,216,192,140
AT1G05830,2361,3255,2114,4304,3120,2963
AT1G05835,203,232,152,304,297,266
AT1G05840,1152,1957,1028,2803,2132,1656
AT1G05850,15374,32241,12917,27245,37367,19730
AT1G05860,582,815,594,877,912,739
AT1G05870,1081,1484,838,1943,4115,2867
AT1G05880,48,7,35,14,4,4
AT1G05890,3174,4954,2679,6801,5650,4359
AT1G05894,9,8,11,14,7,12
AT1G05900,740,1236,596,1216,1624,1291
AT1G05910,1795,2654,1789,1836,2021,2070
AT1G05920,0,0,0,0,0,0
AT1G05925,0,0,0,0,0,0
AT1G05930,0,0,0,0,2,0
AT1G05940,1764,2816,1531,3143,3267,2622
AT1G05950,430,489,472,413,392,475
AT1G05960,4090,6635,3394,6871,7808,5616
AT1G05970,319,467,228,512,436,252
AT1G05980,2,0,0,0,0,0
