gene,root_control_1,root_control_2,root_control_3,root_MeJA_1,root_MeJA_2,root_MeJA_3
AT5G06140,6300,5842,6989,6073,5705,4641
AT5G06150,4281,3688,3767,3020,2540,2542
AT5G06160,3251,3073,3861,2814,2243,2579
AT5G06165,149,144,145,103,101,82
AT5G06170,0,0,1,2,0,0
AT5G06180,1000,879,1092,894,998,663
AT5G06190,525,553,586,463,561,319
AT5G06200,463,494,945,598,454,704
AT5G06210,1533,1514,1430,1179,1419,881
AT5G06220,2572,2047,2967,2045,1723,1935
AT5G06230,1235,1134,1336,1389,1026,882
AT5G06240,1046,830,905,929,1001,748
AT5G06250,392,679,613,229,291,257
AT5G06260,3187,2920,3502,3465,2796,2502
AT5G06265,1962,2006,2307,1603,1723,1470
AT5G06270,1741,1478,1707,656,471,610
AT5G06280,890,688,1078,779,579,548
AT5G06290,1248,1176,1380,1076,1022,911
AT5G06300,2612,2195,3385,2997,1970,1994
AT5G06310,818,708,889,749,650,565
AT5G06320,5179,3900,6816,5957,3336,5208
AT5G06330,1306,1103,1591,1614,888,933
AT5G06340,2182,2180,2320,2240,2579,1688
AT5G06350,2620,2415,2834,1942,1643,1894
AT5G06360,13093,11200,12110,9419,9705,7954
AT5G06370,3727,2933,3787,4988,4469,3247
AT5G06380,14,10,30,6,6,8
AT5G06390,5293,5306,7407,4552,4276,4791
AT5G06400,215,175,172,139,120,153
AT5G06410,1126,1173,1555,1114,1046,917
AT5G06420,803,800,1111,699,743,577
AT5G06430,531,515,652,414,378,378
AT5G06440,1912,1667,2250,1718,1437,1440
AT5G06450,1507,1395,1817,1670,1535,1115
AT5G06460,6901,6176,7510,4925,4438,4648
AT5G06470,33,27,73,49,36,42
AT5G06480,44,67,73,54,72,61
AT5G06490,27,31,32,50,10,21
AT5G06500,0,0,3,2,6,0
AT5G06510,467,534,823,533,784,773
AT5G06520,2,0,6,0,0,0
AT5G06530,207,171,319,264,175,283
AT5G06540,276,247,328,178,189,192
AT5G06550,2538,2517,2810,1665,1799,1623
AT5G06560,2227,2038,2604,2474,1863,1768
AT5G06570,1293,1095,988,4489,1459,1155
AT5G06580,1176,924,1270,1201,873,842
AT5G06590,932,720,887,616,544,530
AT5G06600,10659,9382,12816,10410,7139,9265
AT5G06610,1251,986,1328,1122,773,868
AT5G06620,624,444,560,354,402,360
AT5G06630,4161,4645,9587,11139,2496,8846
AT5G06640,4465,5042,10205,12984,2681,10496
AT5G06650,14,4,8,11,0,0
AT5G06660,3429,3234,3650,2802,2634,2295
AT5G06670,592,519,756,412,349,489
AT5G06680,1618,1429,1947,1268,1010,1219
AT5G06685,0,0,0,0,0,0
AT5G06690,14,6,2,20,2,2
AT5G06700,4410,4411,7125,3747,3602,4292
AT5G06710,407,372,639,378,347,426
AT5G06720,1056,957,1403,1321,1051,1206
AT5G06730,3203,2495,4224,3716,3082,3850
AT5G06740,1331,1099,1748,2379,938,1269
AT5G06750,4492,4020,5582,5831,5327,4141
AT5G06755,73,49,63,60,47,28
AT5G06760,184,89,108,335,134,87
AT5G06770,552,420,615,396,444,391
AT5G06780,2142,2182,2676,2189,1988,1724
AT5G06790,95,38,95,51,32,30
AT5G06800,1232,1010,1910,871,426,646
AT5G06810,1420,1351,1657,1172,1155,1030
AT5G06820,68,85,80,93,96,66
AT5G06830,2556,2568,3230,2664,2304,2251
AT5G06839,2064,1461,2759,2781,1428,2289
AT5G06850,1541,919,2137,1581,1101,1716
AT5G06860,11985,10083,18238,14849,11881,16761
AT5G06865,11986,10086,18239,14849,11882,16762
AT5G06870,78,36,81,975,574,755
AT5G06890,0,0,0,0,0,0
AT5G06900,0,2,2,0,0,0
AT5G06905,0,0,2,0,0,0
AT5G06910,1824,1746,2164,1517,1531,1334
AT5G06920,4,8,0,2,0,4
AT5G06930,846,1143,1509,806,787,1126
AT5G06940,769,623,784,433,403,406
AT5G06950,1750,1879,2166,1816,1658,1401
AT5G06960,2977,2389,3028,2419,2093,1935
AT5G06970,6067,6214,8087,5236,5007,5371
AT5G06980,227,283,202,107,356,156
AT5G06990,206,284,458,367,173,301
AT5G07000,174,148,264,141,148,151
AT5G07010,1764,1784,2294,10115,8138,6996
AT5G07020,538,462,721,690,496,607
AT5G07030,9434,6678,11142,8227,6254,7002
AT5G07040,159,236,201,97,151,112
AT5G07050,14,8,8,6,2,2
AT5G07060,41,50,68,45,45,52
AT5G07070,293,292,375,302,293,275
AT5G07080,386,467,764,610,350,544
AT5G07090,47040,46319,42366,33282,38106,29739
AT5G07100,1534,1390,1683,2593,1332,1194
AT5G07110,1464,1442,2498,1718,1440,1830
AT5G07120,2060,1956,2762,1947,1527,1749
AT5G07130,752,609,1183,454,389,456
AT5G07135,0,0,0,0,0,0
AT5G07140,975,1096,1139,656,751,661
AT5G07150,904,765,1186,966,725,769
AT5G07152,512,471,687,519,443,423
AT5G07160,0,0,4,0,0,2
AT5G07170,1,6,11,0,6,3
AT5G07180,13,6,16,13,22,18
AT5G07190,320,493,1187,128,205,531
AT5G07200,187,292,307,185,337,220
AT5G07210,0,0,0,0,0,0
AT5G07220,5975,5846,8039,8977,6217,6116
AT5G07225,0,5,2,0,1,3
AT5G07230,0,0,2,0,2,0
AT5G07240,167,145,231,144,82,125
AT5G07250,1056,814,1199,957,766,692
AT5G07260,0,0,0,0,5,0
AT5G07270,2438,2350,3105,2617,2137,2421
AT5G07280,126,159,190,371,399,351
AT5G07290,3500,2586,4306,3826,3003,3482
AT5G07300,5174,4192,6256,5531,4190,4674
AT5G07310,64,70,91,107,50,106
AT5G07315,0,0,2,3,0,0
AT5G07320,1468,1554,1986,1686,1477,1482
AT5G07322,959,457,1835,3687,2197,2934
AT5G07330,8,11,12,7,22,3
AT5G07340,4374,4618,5612,6656,7736,6661
AT5G07350,23523,23362,29919,26040,22776,25581
AT5G07360,3069,2776,3475,4288,3302,2957
AT5G07370,3325,3040,4059,3686,3156,2423
AT5G07380,157,187,189,184,242,166
AT5G07390,1277,1075,1451,1428,832,917
AT5G07400,1211,1102,1640,1212,1076,1147
AT5G07410,0,0,0,1,0,0
AT5G07420,0,0,0,0,0,0
AT5G07430,4,0,12,16,14,24
AT5G07440,23820,25788,35927,112339,59577,75302
AT5G07450,127,127,226,113,88,98
AT5G07460,8718,6444,11669,41927,22818,28862
AT5G07470,7705,7204,8728,9820,8189,6256
AT5G07475,1015,1029,1590,732,492,548
AT5G07480,2,2,4,6,1,2
AT5G07490,0,0,0,1,0,1
AT5G07500,0,2,0,0,6,2
AT5G07510,7,0,2,1,2,0
AT5G07520,2,0,0,1,0,0
AT5G07530,2,2,4,1,0,1
AT5G07540,0,0,0,2,0,0
AT5G07550,12,12,4,8,10,3
AT5G07560,26,11,17,22,3,7
AT5G07570,111,75,77,106,27,29
AT5G07571,58,28,46,29,22,21
AT5G07572,56,27,43,25,19,18
AT5G07580,1912,1630,2490,1629,864,1199
AT5G07590,1456,1498,1623,1109,1055,960
AT5G07600,18,8,5,12,9,2
AT5G07610,974,728,1050,723,686,537
AT5G07620,415,319,525,369,314,318
AT5G07625,0,0,2,0,0,0
AT5G07630,1638,1554,1745,1290,1326,1304
AT5G07640,75,84,68,75,111,67
AT5G07650,347,361,366,475,338,296
AT5G07660,380,362,517,453,319,467
AT5G07670,828,828,1016,732,698,632
AT5G07675,0,0,0,0,0,0
AT5G07680,1028,1034,1102,462,568,351
AT5G07690,0,0,8,9,12,6
AT5G07700,0,0,0,2,0,0
AT5G07710,943,816,1117,921,983,789
AT5G07720,440,532,656,379,382,351
AT5G07730,570,642,741,903,838,769
AT5G07740,4363,3514,7239,5859,3777,6623
AT5G07760,17,14,10,24,9,9
AT5G07770,857,800,1077,1453,657,746
AT5G07780,142,154,207,160,86,61
AT5G07790,482,454,549,366,378,394
AT5G07800,279,262,603,310,309,342
AT5G07810,1186,1010,1289,736,494,762
AT5G07820,1723,1892,2689,1451,1131,1360
AT5G07830,4501,3784,5912,3902,3119,3334
AT5G07840,1015,841,1184,962,756,756
AT5G07842,1021,842,1188,970,758,761
AT5G07850,0,0,0,0,0,0
AT5G07860,830,872,1230,1120,1072,1000
AT5G07870,2008,2130,3114,1942,1754,2092
AT5G07880,99,93,116,115,85,66
AT5G07890,1243,1125,1683,1206,1135,1095
AT5G07900,496,415,545,298,384,308
AT5G07910,1679,1565,2232,1950,1688,1604
AT5G07920,3008,2275,3455,2766,2165,2321
AT5G07930,0,1,0,0,0,0
AT5G07940,4847,3593,5386,4438,3458,4179
AT5G07950,989,952,1108,860,1059,668
AT5G07960,4335,3928,4829,4073,4306,3128
AT5G07970,3792,2927,4452,3498,2604,3361
AT5G07980,2274,1782,2738,2002,1716,2137
AT5G07990,2915,3838,8565,836,1893,3458
AT5G08000,66,38,52,41,24,18
AT5G08010,729,677,938,666,512,615
AT5G08020,1705,1765,1952,1054,1006,1064
AT5G08030,21,19,17,18,11,4
AT5G08040,5308,5516,6525,4230,5457,3519
AT5G08050,619,420,849,287,408,449
AT5G08055,0,0,0,0,0,0
AT5G08060,13195,13482,16033,13477,13886,10298
AT5G08070,2,2,1,0,0,0
AT5G08075,0,0,0,0,0,0
AT5G08080,4145,4087,5264,3912,3566,3328
AT5G08090,8,2,13,0,0,2
AT5G08100,2878,2906,2981,2405,2820,2026
AT5G08110,1303,1113,1595,1128,1042,1168
AT5G08120,2613,2443,2938,2045,2063,1771
AT5G08130,6526,5904,9494,6448,6876,7264
AT5G08139,1050,1050,1432,1224,995,894
AT5G08141,5,4,4,8,6,0
AT5G08150,0,0,0,6,6,0
AT5G08160,8605,7937,10388,7513,6979,6573
AT5G08170,2947,2806,3572,2701,2371,2333
AT5G08180,15364,12660,15508,9387,9416,8769
AT5G08185,1175,1286,1329,1106,1443,925
AT5G08190,1857,1583,2418,1917,1631,1605
AT5G08200,2240,2091,3079,2386,2084,2143
AT5G08210,204,202,251,213,196,159
AT5G08220,129,191,218,178,129,160
AT5G08230,2220,1838,2716,2079,1649,2030
AT5G08240,2530,2036,3001,4914,2543,2647
AT5G08250,231,244,556,177,99,164
AT5G08260,3054,2151,2694,2250,1588,1687
AT5G08270,774,733,837,611,670,465
AT5G08280,2969,3096,3806,3203,2558,2623
AT5G08290,9521,9114,10775,10108,9393,7110
AT5G08300,12503,13103,15901,12260,11836,10801
