gene,root_control_1,root_control_2,root_control_3,root_ACC_1,root_ACC_2,root_ACC_3
AT3G57030,2218,1643,1999,1979,1596,1688
AT3G57040,1516,1318,2926,1753,1512,2558
AT3G57050,8906,7342,10797,8075,6952,9746
AT3G57060,2566,2235,2541,2190,1631,1865
AT3G57062,738,588,825,694,639,836
AT3G57070,1427,1491,2349,1420,1381,1864
AT3G57072,6,5,7,8,6,7
AT3G57080,1246,1060,1358,1271,1050,1171
AT3G57090,4387,3505,4684,4731,3110,4007
AT3G57100,4,8,6,10,0,8
AT3G57110,32,16,24,12,20,10
AT3G57120,876,796,1129,995,717,970
AT3G57130,6,22,29,10,16,34
AT3G57140,1419,1505,1696,1285,1171,1393
AT3G57150,22366,21266,23249,19297,16747,19111
AT3G57157,1103,658,907,1385,473,590
AT3G57160,252,195,263,138,106,207
AT3G57170,2261,2255,2429,1849,1700,2272
AT3G57180,245,265,362,271,222,268
AT3G57190,106,103,146,94,120,153
AT3G57200,360,380,408,345,291,326
AT3G57210,28,18,48,18,36,24
AT3G57220,2737,2448,3205,2280,1877,2659
AT3G57230,3333,3214,5085,4108,2909,4999
AT3G57240,0,0,0,0,2,0
AT3G57250,2,0,0,0,0,3
AT3G57260,14,8,26,4,4,10
AT3G57270,2,0,0,0,0,2
AT3G57280,4608,4912,6548,5182,4311,5554
AT3G57290,17719,16644,17964,15324,14890,16480
AT3G57300,6045,4901,6656,6135,4268,6515
AT3G57310,2,0,4,0,0,0
AT3G57320,844,801,829,652,841,680
AT3G57330,9268,7831,11340,12614,7730,11152
AT3G57340,4462,3828,5219,4511,3826,5107
AT3G57350,2790,2564,2717,2514,2067,2529
AT3G57360,638,646,723,609,658,537
AT3G57370,12,14,16,15,12,13
AT3G57380,1185,977,1307,1545,818,1121
AT3G57390,1048,1011,1291,1246,1046,1313
AT3G57400,1382,1341,2190,1474,1233,1967
AT3G57410,9231,9108,12280,12314,8359,12391
AT3G57420,2247,2194,3196,2508,1856,2827
AT3G57430,209,187,195,190,119,138
AT3G57440,29,31,35,47,15,25
AT3G57450,3563,3313,4709,4104,3729,4385
AT3G57460,42,24,39,44,25,35
AT3G57470,2578,2274,2906,2331,1826,2827
AT3G57480,1112,1126,1657,1462,1191,1304
AT3G57490,4615,4828,6007,4275,4208,4783
AT3G57500,131,145,223,148,96,134
AT3G57510,0,0,2,0,2,0
AT3G57520,11937,13644,15247,12367,6370,8764
AT3G57530,3215,2732,4486,3248,2543,3954
AT3G57540,476,246,601,424,302,405
AT3G57550,9485,10266,11339,11393,9808,12062
AT3G57560,2213,2036,2688,2097,1815,2213
AT3G57570,2262,1939,2556,2184,1586,2415
AT3G57580,522,497,563,569,408,483
AT3G57590,655,638,706,615,525,697
AT3G57600,2,1,0,0,0,0
AT3G57610,7781,7446,8286,6951,6281,6961
AT3G57620,2,0,1,0,0,1
