gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT3G26760,1652.11877455412,1.72783503598665,0.15098879831366,11.4434650469719,2.53552497516059e-30,7.14368701233356e-28
AT3G27580,4159.84524954249,1.29549313717392,0.131735051245172,9.83408079268798,8.02975156874886e-23,1.47231230549845e-20
AT3G28850,1164.86705176342,1.11632091674199,0.162076586155201,6.88761370919438,5.67360198392024e-12,4.21470182104531e-10
AT3G28880,1018.18979091331,1.58988781288781,0.210207537413338,7.5634196206845,3.92608463254334e-14,3.92659451366445e-12
AT3G44540,5567.69580820627,1.51378302841817,0.248764704968166,6.0852001838922,1.16345850012299e-09,5.9498544055908e-08
AT3G48360,2238.13381965742,1.51835393978087,0.218555023351324,6.94723880741069,3.7250485237104e-12,2.84966212063845e-10
AT3G50660,6082.54448001392,1.49355510375016,0.14999785118493,9.95717666587625,2.34631251827708e-23,4.40706163493945e-21
AT3G54000,2081.97298702841,1.65474611607876,0.129898726056968,12.7387401424788,3.60163869634013e-37,1.38681098002577e-34
AT3G55720,1028.99134371581,1.25102615492796,0.179382430824666,6.97407292997803,3.07894340466095e-12,2.42774162040553e-10
AT3G58190,3921.93884552403,7.67437520344184,0.314334651026886,24.4146650023176,1.19490610046075e-131,4.60098593982412e-128
AT3G59900,1626.02061399614,2.03707575231192,0.179542640249659,11.3459162095384,7.77080233312881e-30,2.06354995749741e-27
AT3G60630,5284.97179786011,1.20823662554394,0.156324964549675,7.72900623406185,1.08389366916396e-14,1.12798177651779e-12
AT3G60640,2133.70073727299,1.45542146533369,0.163308246401144,8.91211250752549,5.00692887409498e-19,7.36783934893097e-17
AT3G61160,1762.54118388484,1.17788658430503,0.211441605892651,5.57074176263605,2.5365706278813e-08,1.02631157996395e-06
AT3G62100,1051.06446838088,3.48786556900352,0.253448876062176,13.7616138733552,4.33735170448768e-43,1.96482032213292e-40
AT4G00080,3815.88932752707,1.50043033551773,0.161818770818249,9.27228854805094,1.82193996459636e-20,2.96424500014576e-18
AT4G03420,2712.51613119391,1.45744094700899,0.191671702197116,7.60383995291152,2.8747073712674e-14,2.90019058508256e-12
AT4G09460,1467.21786695983,1.30645648196917,0.183499165247529,7.11968624057143,1.08173028228369e-12,9.02209917386282e-11
AT4G13195,2848.52801411408,3.35415897581011,0.17836160155797,18.8053871826216,6.82222777331015e-79,6.56724701028269e-76
AT4G13710,1123.95485512731,1.34683046111574,0.208072279927646,6.47289711817489,9.6141418397575e-11,5.90732763095525e-09
AT4G14550,3138.05361125111,1.10959242097481,0.146022413473826,7.59878154714727,2.98931900236317e-14,3.0027059526781e-12
AT4G14560,3248.10535874664,3.04528911368938,0.145950001221164,20.8652900870808,1.10720790305783e-96,1.96767878341116e-93
AT4G17350,1638.31874527672,2.14848619031786,0.192255855160022,11.1751404841719,5.39649176782029e-29,1.35516466643426e-26
AT4G21680,1341.82078275518,1.5546253489357,0.271813457551729,5.71945687655968,1.0686509142804e-08,4.63619684838427e-07
