,root_control_1,root_control_2,root_control_3,root_IAA_1,root_IAA_2,root_IAA_3
AT3G12970,756.021969680955,816.147053497269,757.790433303255,674.722482517045,756.964489334777,687.756126677376
AT3G12977,708.707678635675,615.689882462852,482.765492470664,731.280102375091,393.579885788921,384.031489896199
AT3G12980,3199.2514242957,2924.25158844163,3282.63713782753,3309.11688116815,2174.06032150071,3592.18731433737
AT3G12990,1094.26881630253,1349.2309588855,1049.63647143447,1349.44496503409,1584.7317094464,1249.90409848254
AT3G13000,1728.48165371797,1605.86019433066,1407.08478903035,1978.52445608675,2455.18881134994,2080.77115571104
AT3G13010,16.1069926962653,16.5211954149245,14.297932703835,10.9146283936581,9.37094966164099,2.05915007987238
AT3G13020,276.838936967061,346.945103713414,252.316459479441,349.268108597058,492.495465550687,324.3161375799
AT3G13030,2685.84103210225,2841.64561136701,2414.66851721825,2544.10065466721,2786.29569939459,2769.55685742835
AT3G13040,3413.67576456474,3180.88082388679,3068.16814727,2301.0021131721,2566.59899066056,2946.64376429738
AT3G13050,1288.55941570123,1376.76628457704,1409.60795362514,1399.05691227799,1486.8573463137,1517.59360886595
AT3G13060,5469.3307074256,5344.05601021424,5671.2329542329,4868.91650251638,4169.03138280117,5238.47780319534
AT3G13061,2281.15284060858,2195.11616412963,2172.44471611799,1976.53997819699,2148.02990577393,2004.58260275576
AT3G13062,1402.3150516186,1268.8278078662,1368.3962652435,1468.51363841945,1457.70328069971,1476.4106072685
AT3G13065,232.544707052331,232.398148836604,184.191015419992,187.533160581943,221.77914199217,192.530532468068
AT3G13070,3791.18340588346,4069.72113720973,4034.54018707626,4003.68414258276,4024.30227136027,4044.17075686936
AT3G13080,5890.12589161553,5303.30372819076,6337.34840725863,11739.1789568517,8615.02638893528,10495.4879571095
AT3G13090,1321.78008813728,787.510314778067,1063.93440413831,1397.07243438823,848.591552693045,1345.6545771966
AT3G13100,1333.86033265947,1211.55433042779,1436.52170930295,1724.51128619798,1143.2558587202,1419.78398007201
AT3G13110,6338.10162598041,6909.16392252142,8492.97202607798,5845.27962427634,5982.83075064323,7340.87003474504
AT3G13120,1777.80931885029,1700.58171470956,1544.17673201418,1875.33160581943,2246.94548553569,1746.15926773178
AT3G13130,10.0668704351658,11.0141302766163,8.4105486493147,9.92238944878007,2.08243325814244,0
AT3G13140,16.1069926962653,7.70989119363142,4.20527432465735,13.8913452282921,15.6182494360683,1.02957503993619
AT3G13150,1582.51203240807,1590.4404119434,1354.09833253967,1803.89040178822,1791.93381863157,1710.12414133401
AT3G13160,2988.85383220074,2799.79191631587,2555.96573452674,3132.49834897987,2855.01599691329,3061.95616877023
AT3G13170,135.902750874739,136.575215430042,123.635065144926,150.820319621457,139.523028295544,159.58413119011
AT3G13175,855.683986989097,1003.38726819975,878.061278988455,851.34101470533,1442.08503126364,851.45855802723
AT3G13180,850.650551771514,903.158682682538,742.651445734488,841.41862525655,1012.06256345723,894.70070970455
AT3G13190,1542.24455066741,1308.47867686202,1271.67495577638,1561.78409923798,1644.08105730346,1466.11485686914
AT3G13200,9012.86910060398,9547.04812377102,9073.2998828807,9550.29984445081,10820.3232093081,9667.70962500084
AT3G13210,101.675391395175,74.896085880991,59.7148954101344,112.123000771215,81.2148970675552,91.632178554321
AT3G13220,0,1.10141302766163,3.36421945972588,0,0,0
AT3G13222,3939.16640128039,3360.41114739564,3166.57156646698,3955.06443428373,3714.01971589704,4079.17630822719
AT3G13223,0,1.10141302766163,0,0,0,0
AT3G13224,2024.44764451185,2602.63898436444,2097.59083313909,2367.48212247892,2941.4369771262,2355.66769137401
AT3G13225,2697.92127662445,2475.97648618335,2450.8338764103,2698.88993006818,2174.06032150071,2763.37940718874
AT3G13226,1483.85670214344,1535.36976056031,1539.97145768952,1473.47483314384,1749.24393683965,1582.45683638193
AT3G13227,0,0,0,0,0,4.11830015974477
AT3G13228,2.01337408703317,0,0.84105486493147,0,0,0
AT3G13229,0,2.20282605532326,0,0,0,0
AT3G13230,4983.10086540709,5883.74839376844,4724.20517632007,6054.6420416456,7539.44961110471,5719.28934684554
AT3G13235,4165.67098607162,4457.41852294662,4544.21943522473,4374.78150796713,4652.15589869021,4582.63850275599
AT3G13240,125.835880439573,155.29923690029,132.886668659172,113.115239716093,184.295343345606,131.785605111832
AT3G13275,216.437714356066,185.037388647154,325.488232728479,195.471072140967,200.954809410746,216.2107583866
AT3G13277,86.5750857424262,109.039889738502,86.6286510879414,56.5576198580464,74.9675972931279,72.0702527955334
AT3G13280,0,3.30423908298489,1.68210972986294,13.8913452282921,6.24729977442732,2.05915007987238
AT3G13290,3450.92318517485,3374.72951675524,3900.81246355216,3580.99035206473,2843.5626139935,4135.80293542368
AT3G13300,11720.8572476636,10934.8285386247,12668.8094304627,12017.9981003624,8983.61707562649,12998.3848791944
AT3G13310,6051.19581857819,6731.83642506789,8426.5286917484,6465.42896482509,7378.06103359867,7086.56499988081
AT3G13320,5587.11309151704,5533.49905097204,5717.49097180413,6638.07854123386,6191.07407645748,6297.91051928968
AT3G13330,8823.61193642286,7749.54206262724,8796.59283231825,9974.9781128586,6119.23012905156,9714.04050179797
AT3G13335,0,0,0,0.992238944878007,0,0
