genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G03650	62.2757414579438	0.895090412933952	0.200376462625395	4.46704368969388	7.93079378157027e-06	8.41735903642241e-05
AT2G15000	238.283486769213	0.894682534382702	0.159758846129279	5.6002065366616	2.14096565242797e-08	4.34736514687387e-07
AT3G14940	586.682935869999	0.894364199200896	0.161565286782813	5.5356210298018	3.10127488085889e-08	6.05613653461978e-07
AT4G27010	455.216261519635	0.893972816082587	0.117690194093957	7.59598387074537	3.05462576869992e-14	1.57450853084218e-12
AT2G43820	1785.23665416495	0.893008448973331	0.284672689253469	3.13696565453881	0.00170706122919182	0.00834251031636501
AT4G13770	17987.9487989442	0.892677332254948	0.128856317097032	6.92769553224728	4.27751100571084e-12	1.71683358857791e-10
AT5G39660	159.099395645584	0.891788331487355	0.260582391090423	3.42228931032374	0.000620962021691561	0.00357999564767261
AT3G59760	1427.9432431726	0.891251663597062	0.0807788794282393	11.033226381765	2.64212954245483e-28	4.99724710961235e-26
AT5G03270	32.4433159670025	0.890802942173971	0.282097206498479	3.15778717992648	0.0015897156833766	0.00785413986143489
AT1G09453	47.8970099583086	0.889601290046571	0.268739844955183	3.31026941760321	0.000932062106712243	0.00505893371643653
AT5G16420	137.283009104534	0.88938539903436	0.141639902274548	6.27920088020405	3.40317655363357e-10	9.76924109086513e-09
AT1G53320	1711.44252280756	0.887655433895803	0.152699598424014	5.81308296195367	6.1332645662437e-09	1.36473865153808e-07
AT1G35710	851.959437612176	0.887437374198282	0.181553047489276	4.88803347820809	1.01848213787111e-06	1.39932405269427e-05
AT4G01850	6438.98519552106	0.88739355163546	0.169210943650927	5.24430354496519	1.56873753388111e-07	2.59095784381083e-06
AT3G53670	744.895907271854	0.886658535350481	0.109688824495704	8.08339901012617	6.29861174539922e-16	3.94976848301733e-14
AT4G35630	1082.68582898822	0.886267921009635	0.253854487205401	3.49124386480721	0.000480777204004748	0.00287938400549626
AT5G57150	762.238642704588	0.886094448364072	0.191805033276001	4.61976640148441	3.84172325781364e-06	4.42316816718229e-05
AT5G11800	612.570147515917	0.885658098812382	0.119156827588501	7.432709620895	1.06395300795309e-13	5.15555576353799e-12
AT4G12720	848.244142693549	0.884894098187819	0.138309435441616	6.39793008598719	1.5749736673477e-10	4.7785067814108e-09
AT5G42450	42.7025456579317	0.884787077288288	0.252965945148365	3.49765292229102	0.000469371534596721	0.00282260784638382
