"genes","go"
"AT2G21450","GO:0080188"
"AT2G21450","GO:0005524"
"AT2G21450","GO:0070615"
"AT2G46790","GO:0005515"
"AT2G46790","GO:0005515"
"AT5G19410","GO:0005524"
"AT5G19410","GO:0140359"
"AT5G19410","GO:0016020"
"AT2G25970","GO:0003723"
"AT4G22305","GO:0016787"
"AT3G22300","GO:0003735"
"AT3G22300","GO:0005840"
"AT3G22300","GO:0006412"
"AT1G47550","GO:0000145"
"AT1G47550","GO:0006887"
"AT1G72150","GO:0008289"
"AT5G10530","GO:0030246"
"AT5G10530","GO:0004672"
"AT5G10530","GO:0005524"
"AT5G10530","GO:0006468"
"AT3G14630","GO:0004497"
"AT3G14630","GO:0005506"
"AT3G14630","GO:0016705"
"AT3G14630","GO:0020037"
"AT5G22860","GO:0006508"
"AT5G22860","GO:0008236"
"AT5G56770","GO:0003677"
"AT5G56770","GO:0006355"
"AT5G54570","GO:0004553"
"AT5G54570","GO:0005975"
"AT2G04100","GO:0042910"
"AT2G04100","GO:1990961"
"AT2G04100","GO:0015297"
"AT2G04100","GO:0016020"
"AT2G04100","GO:0055085"
"AT3G09500","GO:0000463"
"AT3G09500","GO:0022625"
"AT3G09500","GO:0003735"
"AT3G09500","GO:0005840"
"AT3G09500","GO:0006412"
"AT1G02530","GO:0005524"
"AT1G02530","GO:0016021"
"AT1G02530","GO:0055085"
"AT1G02530","GO:0140359"
"AT4G33880","GO:0046983"
"AT3G54950","GO:0006629"
"AT4G20480","GO:0005777"
"AT4G20480","GO:0010468"
"AT5G24160","GO:0004506"
"AT5G24160","GO:0016126"
"AT5G24160","GO:0016491"
"AT5G24160","GO:0016021"
"AT5G24160","GO:0050660"
"AT2G44620","GO:0006633"
"AT2G16485","GO:0005515"
"AT2G16485","GO:0003677"
"AT2G16485","GO:0046872"
"AT3G14310","GO:0004857"
"AT3G14310","GO:0030599"
"AT3G14310","GO:0042545"
"AT1G52990","GO:0003676"
"AT1G52990","GO:0004523"
"AT3G14570","GO:0000148"
"AT3G14570","GO:0003843"
"AT3G14570","GO:0006075"
"AT3G14570","GO:0016020"
"AT4G13550","GO:0006629"
"AT5G23010","GO:0003824"
"AT1G71691","GO:0016788"
"AT1G34190","GO:0003677"
"AT1G34190","GO:0006355"
"AT5G50950","GO:0006099"
"AT5G50950","GO:0016829"
"AT5G50950","GO:0004333"
"AT5G50950","GO:0006106"
"AT5G50950","GO:0045239"
"AT4G28130","GO:0004143"
"AT4G28130","GO:0007165"
"AT4G28130","GO:0007205"
"AT4G28130","GO:0016301"
"AT2G19540","GO:0005515"
"AT3G57070","GO:0097573"
"AT5G18830","GO:0003677"
"AT2G05410","GO:0005515"
"AT5G62760","GO:0005634"
"AT1G10810","GO:0047834"
"AT3G47450","GO:0003924"
"AT3G47450","GO:0005525"
"AT1G16040","GO:0005789"
"AT1G16040","GO:0006506"
"AT1G10850","GO:0004672"
"AT1G10850","GO:0005524"
"AT1G10850","GO:0006468"
"AT1G10850","GO:0005515"
"AT2G16960","GO:0006606"
"AT5G62165","GO:0003677"
"AT5G62165","GO:0046983"
"AT5G62165","GO:0000977"
"AT5G62165","GO:0045944"
"AT5G62165","GO:0003700"
"AT5G62165","GO:0005634"
"AT5G62165","GO:0006355"
"AT5G62165","GO:0003677"
"AT5G62165","GO:0046983"
"AT5G62165","GO:0000977"
"AT5G62165","GO:0045944"
"AT5G62165","GO:0003700"
"AT5G62165","GO:0005634"
"AT5G62165","GO:0006355"
"AT5G62165","GO:0003677"
"AT5G62165","GO:0046983"
"AT5G62165","GO:0000977"
"AT5G62165","GO:0045944"
"AT5G62165","GO:0003700"
"AT5G62165","GO:0005634"
"AT5G62165","GO:0006355"
"AT3G05760","GO:0000398"
"AT3G05760","GO:0005681"
"AT4G22810","GO:0003680"
"AT2G30950","GO:0004176"
"AT2G30950","GO:0004222"
"AT2G30950","GO:0005524"
"AT2G30950","GO:0006508"
"AT2G30950","GO:0016887"
"AT4G15900","GO:0005515"
"AT2G29480","GO:0005515"
"AT2G29480","GO:0006749"
"AT2G29480","GO:0004364"
"AT5G67540","GO:0004553"
"AT5G67540","GO:0005975"
"AT1G32930","GO:0006486"
"AT1G32930","GO:0016020"
"AT1G32930","GO:0016758"
"AT5G45960","GO:0016788"
"AT1G71390","GO:0005515"
"AT1G27050","GO:0003676"
"AT1G01020","GO:0032366"
"AT1G01580","GO:0016491"
"AT5G36230","GO:0005515"
"AT1G57800","GO:0046872"
"AT3G44530","GO:0006355"
"AT3G44530","GO:0005515"
"AT3G44530","GO:0005634"
"AT3G44530","GO:0006325"
"AT3G44530","GO:0006351"
"AT2G38830","GO:0006464"
"AT2G38830","GO:0015031"
"AT1G02850","GO:0004553"
"AT1G02850","GO:0005975"
"AT5G08530","GO:0051539"
"AT5G64200","GO:0003676"
"AT5G64200","GO:0003676"
"AT4G01370","GO:0004672"
"AT4G01370","GO:0005524"
"AT4G01370","GO:0006468"
"AT4G34280","GO:0005515"
"AT3G16690","GO:0016021"
"AT1G66980","GO:0004672"
"AT1G66980","GO:0006468"
"AT1G66980","GO:0006629"
"AT1G66980","GO:0008081"
"AT4G21390","GO:0048544"
"AT4G21390","GO:0004672"
"AT4G21390","GO:0006468"
"AT3G45630","GO:0004842"
"AT3G45630","GO:0030014"
"AT3G45630","GO:0003676"
"AT3G45630","GO:0004842"
"AT3G45630","GO:0030014"
"AT3G45630","GO:0003676"
"AT1G01220","GO:0016772"
"AT1G01220","GO:0005524"
"AT2G02890","GO:0005515"
"AT4G37280","GO:0005634"
"AT4G37280","GO:0006325"
"AT4G37280","GO:0006355"
"AT1G72330","GO:0008483"
"AT1G72330","GO:0009058"
"AT1G72330","GO:0030170"
"AT5G26290","GO:0005515"
"AT1G13790","GO:0031047"
"AT1G13790","GO:0031047"
"AT5G24655","GO:0098869"
"AT1G48380","GO:0003677"
"AT1G48380","GO:0042023"
"AT3G61130","GO:0047262"
"AT3G61130","GO:0016757"
"AT4G31620","GO:0003677"
"AT5G42325","GO:0006351"
"AT5G42540","GO:0003676"
"AT5G42540","GO:0008270"
"AT5G42540","GO:0004527"
"AT2G42850","GO:0004497"
"AT2G42850","GO:0005506"
"AT2G42850","GO:0016705"
"AT2G42850","GO:0020037"
"AT3G02680","GO:0006302"
"AT3G02680","GO:0007095"
"AT3G02680","GO:0030870"
"AT3G02680","GO:0005515"
"AT4G29370","GO:0005515"
"AT2G45580","GO:0004497"
"AT2G45580","GO:0005506"
"AT2G45580","GO:0016705"
