gene,root_control_1,root_control_2,root_control_3,root_auxin_1,root_auxin_2,root_auxin_3
AT5G35930,1716,1682,1860,1741,1662,1723
AT5G35940,3449,3462,3695,1837,2829,1416
AT5G35945,0,0,0,0,0,0
AT5G35950,2,10,5,10,13,4
AT5G35960,105,104,214,136,122,120
AT5G35970,1774,1348,2173,1470,1119,1654
AT5G35980,9306,7693,11770,10643,6394,10180
AT5G35995,1099,1091,1302,1228,1228,1195
AT5G36000,217,175,251,251,313,261
AT5G36001,336,344,380,346,329,357
AT5G36002,281,293,327,292,269,307
AT5G36080,0,0,0,0,0,0
AT5G36100,6,12,2,0,4,0
AT5G36110,236,173,415,297,192,297
AT5G36120,14,8,16,6,30,8
AT5G36130,27,15,33,5,10,6
AT5G36140,55,28,88,18,8,20
AT5G36150,30,25,77,12,10,6
AT5G36160,3824,3456,4649,3454,3134,3375
AT5G36170,1002,898,1205,862,993,911
AT5G36180,1613,1005,2141,868,472,434
AT5G36190,0,2,3,2,2,0
AT5G36200,0,0,0,0,0,1
AT5G36210,4943,4792,5490,5010,4461,4621
AT5G36220,354,347,463,264,368,282
AT5G36228,2,4,4,2,0,6
AT5G36230,20417,20161,23659,20464,22718,20316
AT5G36240,1,2,4,2,0,0
AT5G36250,1294,1201,1593,1627,1292,1348
AT5G36260,218,323,426,294,244,260
AT5G36280,2,0,0,3,3,3
AT5G36290,7436,7660,9560,6973,7541,7192
AT5G36300,0,1,0,0,0,0
AT5G36310,0,0,0,0,0,0
AT5G36320,0,0,0,0,0,0
AT5G36330,0,0,0,0,0,0
AT5G36340,0,0,0,0,0,0
AT5G36350,0,0,0,0,0,0
AT5G36360,0,0,0,0,0,0
AT5G36370,0,0,0,0,0,0
AT5G36380,0,0,0,0,0,0
AT5G36390,0,0,0,0,0,0
AT5G36400,0,0,0,0,0,0
AT5G36410,0,0,0,0,0,0
AT5G36420,0,0,0,0,0,0
AT5G36430,0,0,0,0,0,0
AT5G36440,0,0,0,0,0,0
AT5G36450,0,0,0,0,0,0
AT5G36460,0,0,0,0,0,0
AT5G36470,0,0,0,0,0,0
AT5G36480,0,0,0,0,0,0
AT5G36490,0,0,0,0,0,0
AT5G36500,0,0,0,0,0,0
AT5G36520,0,0,0,0,0,0
AT5G36540,0,0,0,0,0,0
AT5G36550,0,0,0,0,0,0
