,root_control_1,root_control_2,root_control_3,root_auxin_1,root_auxin_2,root_auxin_3
AT1G02205,72.4814671331941,66.0847816596979,103.449748386571,72.4334429760945,36.4425820174927,57.6562022364267
AT1G02210,0,0,0,0,0,0
AT1G02220,6768.96368060551,7004.98685592798,7042.1523840712,5645.83959635586,5179.01151300025,5692.5203958072
AT1G02230,322.139853925307,361.263473073015,344.832494621903,200.432266865357,194.707509636318,204.885432947302
AT1G02250,12.080244522199,19.8254344979094,7.56949378438323,11.9068673385361,13.5358161779259,4.11830015974477
AT1G02260,1938.87924581294,1932.97986354616,1844.43331879471,2035.08207594479,1867.94263255377,1980.90237683723
AT1G02270,1470.76977057773,1339.31824163654,1613.98428580349,1599.48917914335,1286.94375353203,1411.54737975252
AT1G02280,1820.09017467798,1937.38551565681,1550.90517093363,1800.91368495358,2106.38124061108,1581.42726134199
AT1G02290,1183.8639631755,1150.9766139064,1132.90090306269,1281.97271678238,1016.22742997351,1276.67304952088
AT1G02300,389.587885840918,433.956732898683,373.428360029573,241.114063605356,230.10887502474,214.151608306728
AT1G02305,6597.82688320769,5612.80078896367,5522.36624314003,5118.96071662564,4678.18631441699,4362.30944420964
AT1G02310,326.166602099373,230.195322781281,275.024940832591,213.331373148771,138.481811666472,111.194104313109
AT1G02320,3.02006113054975,0,2.52316459479441,5.95343366926804,3.12364988721366,0
AT1G02330,3533.47152274321,3241.45854040818,3292.72979620671,3319.03927061693,3128.85597035902,3178.29814828302
AT1G02335,543.611003498955,848.088031299456,1789.76475257417,918.813262957034,572.669145989171,1753.36629301133
AT1G02340,566.764805499837,664.152055679964,703.121867082709,388.957666392179,409.19813522499,421.096191333902
AT1G02350,149.996369483971,186.138801674816,135.409833253967,145.859124897067,164.512227393253,119.430704632598
AT1G02360,5841.80491352674,5313.21644543971,6072.41612480521,5109.03832717686,3985.77725608463,5128.31327392217
AT1G02370,1322.78677518079,1361.34650218978,1231.30432225967,1409.97154067165,1605.55604202782,1445.52335607041
AT1G02380,352.340465230804,362.364886100677,359.130427325738,385.980949557545,337.354187819075,416.977891174158
AT1G02390,550.657812803571,686.180316233197,525.659290582169,359.190498045838,367.549470062141,389.17936509588
AT1G02391,0,0,0,0,0,0
AT1G02400,1163.73022230517,1354.73802402381,1248.1254195583,4177.32595793641,2971.63225936926,3317.29077867441
AT1G02405,10.0668704351658,8.81130422129305,5.04632918958882,14.8835841731701,14.5770328069971,19.5619257587876
AT1G02410,2616.3796260996,2473.77366012802,2473.54235776345,2804.06725822525,2848.76869713886,2599.67697583888
AT1G02420,524.48394967214,641.02238209907,531.546674636689,516.956490281441,361.302170287714,562.147971805161
AT1G02430,576.831675935003,655.340751458671,534.069839231483,536.801269179002,503.948848470471,428.303216613456
AT1G02440,107.715513656274,59.4763034937281,81.5823218983526,57.5498588029244,57.2669145989171,54.5674771166181
AT1G02450,21.1404279138483,19.8254344979094,28.59586540767,34.7283630707302,22.9067658395669,22.6506508785962
