"gene","shoot_control_1","shoot_control_2","shoot_control_3","shoot_MeJA_1","shoot_MeJA_2","shoot_MeJA_3"
"AT1G30430",0,0,0,0,0,0
"AT1G30440",2403,3183,1822,1890,2206,2131
"AT1G30450",1859,3338,2047,3389,3381,2951
"AT1G30455",2,2,2,1,0,2
"AT1G30460",1163,1837,1023,1813,1602,1602
"AT1G30470",3349,5182,2963,4389,4539,3959
"AT1G30473",133,172,105,223,140,163
"AT1G30475",223,384,259,463,347,440
"AT1G30480",785,1387,974,1355,1286,1255
"AT1G30490",1978,2972,1776,3111,2713,2774
"AT1G30500",330,664,292,413,557,418
"AT1G30510",3407,4585,5904,2612,2214,5034
"AT1G30515",31,24,26,42,12,35
"AT1G30520",1113,1407,508,905,911,699
"AT1G30530",3683,8821,2737,4707,10389,7929
"AT1G30540",624,1029,624,1174,899,823
"AT1G30550",273,339,223,377,245,380
"AT1G30560",6,11,11,10,8,4
"AT1G30570",894,1252,767,892,773,737
"AT1G30580",10802,15626,10296,13933,14170,14987
"AT1G30590",3351,5025,2666,4578,4095,4320
"AT1G30600",721,939,664,490,536,808
"AT1G30610",1464,1836,1024,1791,1404,1271
"AT1G30620",720,1523,1179,1432,1809,2042
"AT1G30630",4572,7696,4525,6032,6874,6259
"AT1G30640",513,1236,705,1424,954,890
"AT1G30650",288,317,354,356,254,491
"AT1G30660",32,30,29,28,25,33
"AT1G30670",0,0,0,0,0,0
"AT1G30680",3440,4578,2560,4058,3912,4082
"AT1G30690",3503,6393,4061,2271,3155,3954
"AT1G30700",1833,3346,2411,2132,1468,2448
"AT1G30710",2,0,0,2,2,4
"AT1G30720",1112,3480,1684,2900,882,1032
"AT1G30730",479,1505,717,777,326,426
"AT1G30740",14,20,5,21,12,2
"AT1G30750",242,280,285,193,283,336
"AT1G30755",1149,2968,1842,1952,2287,1729
"AT1G30757",165,375,222,276,276,229
"AT1G30760",213,197,339,119,112,335
"AT1G30780",0,2,0,0,0,0
"AT1G30790",0,0,0,0,0,0
"AT1G30795",0,0,0,0,0,0
"AT1G30800",80,78,63,91,65,50
"AT1G30810",1098,1891,955,1572,1482,1165
"AT1G30814",0,2,0,4,0,4
"AT1G30820",2601,3411,2272,5546,3431,3927
"AT1G30825",644,1218,543,874,775,691
"AT1G30830",0,0,0,0,0,0
"AT1G30840",139,84,84,48,25,94
"AT1G30845",170,149,103,186,118,146
"AT1G30850",25,68,48,64,40,72
"AT1G30860",180,332,133,156,354,186
"AT1G30870",656,1171,895,1122,1089,1693
"AT1G30880",2809,3921,2712,3648,3144,3821
"AT1G30890",833,1400,834,1258,1182,1174
"AT1G30900",475,649,600,469,387,605
"AT1G30910",1083,1810,1005,1545,1458,1269
"AT1G30920",2,0,2,0,2,0
"AT1G30925",0,0,0,0,0,0
"AT1G30930",0,0,0,0,0,0
"AT1G30950",4,6,8,0,2,8
"AT1G30960",797,1490,973,975,1123,1384
"AT1G30970",2566,3426,2377,4273,3125,3507
"AT1G30972",0,0,2,0,0,0
"AT1G30974",1,0,0,0,0,0
"AT1G30990",51,44,33,74,27,97
"AT1G31000",0,0,0,0,0,0
"AT1G31010",518,913,595,568,752,828
"AT1G31020",529,799,529,742,642,685
"AT1G31040",76,114,98,78,50,133
"AT1G31050",136,85,209,102,33,207
"AT1G31070",1558,2493,1571,1931,2325,2236
"AT1G31080",0,0,0,0,0,0
"AT1G31090",0,0,0,0,0,0
"AT1G31110",0,0,0,0,0,0
"AT1G31120",669,998,708,1395,1180,1229
"AT1G31130",4170,9770,4625,5908,6990,6441
"AT1G31140",0,0,0,0,0,0
"AT1G31150",552,713,517,623,582,598
"AT1G31160",1228,1514,882,1401,1161,1181
"AT1G31163",0,1,2,3,1,7
"AT1G31170",1511,2564,1097,2468,2435,1556
"AT1G31173",53,45,46,53,20,40
"AT1G31175",532,711,417,893,725,701
"AT1G31180",4151,6793,3928,5238,5761,5808
"AT1G31190",1589,3090,1081,2034,2089,1348
"AT1G31200",231,320,166,192,143,157
"AT1G31220",856,1369,753,778,976,990
"AT1G31230",4713,7058,5336,5494,5750,7746
"AT1G31240",74,86,73,87,124,98
"AT1G31250",0,4,0,4,0,4
"AT1G31258",246,439,261,355,271,322
"AT1G31260",5,2,2,0,1,4
"AT1G31270",0,1,0,0,0,0
"AT1G31280",1255,3073,942,1134,2808,1478
"AT1G31290",128,312,124,139,193,128
"AT1G31300",1550,2521,1387,1855,1935,1794
"AT1G31310",142,271,207,101,126,185
"AT1G31319",0,0,0,0,0,0
"AT1G31320",177,184,179,122,73,153
"AT1G31330",30096,52203,22597,38452,43798,25961
"AT1G31335",201,310,204,157,172,189
"AT1G31340",3315,6246,3294,7203,5097,4133
"AT1G31350",918,1854,787,1934,1491,1190
"AT1G31358",0,0,0,0,0,0
"AT1G31360",674,1008,599,1060,815,907
"AT1G31370",2,2,0,0,0,2
"AT1G31380",0,0,0,0,0,0
"AT1G31390",0,0,0,2,0,0
"AT1G31400",0,0,1,2,0,0
"AT1G31410",1186,1776,814,1524,1389,1171
"AT1G31420",7828,12767,6327,6730,7936,6919
"AT1G31430",137,175,113,174,109,155
"AT1G31440",2139,3884,1877,2441,2997,2300
"AT1G31450",0,0,0,1,0,0
"AT1G31460",284,468,296,377,333,369
"AT1G31470",302,363,279,457,325,414
"AT1G31480",874,1405,751,1556,1265,1159
"AT1G31485",25,83,66,114,50,59
"AT1G31490",186,338,189,367,285,297
"AT1G31500",1355,1844,1129,1657,1560,1457
"AT1G31510",0,0,0,0,0,0
"AT1G31520",0,0,0,0,0,0
"AT1G31530",0,0,0,0,0,0
"AT1G31540",1921,5940,2583,2978,3592,2742
"AT1G31550",333,595,413,1913,1944,1798
"AT1G31580",14243,35207,6605,11823,13981,5383
"AT1G31600",2184,3207,2125,3649,2754,3128
"AT1G31620",0,0,0,0,0,0
"AT1G31630",0,0,0,0,0,0
"AT1G31640",0,0,0,0,0,0
"AT1G31650",1674,2209,1338,1255,1590,1670
"AT1G31660",3665,6609,4392,4554,5772,6289
"AT1G31670",2,0,0,0,0,0
"AT1G31690",586,725,284,1232,815,568
"AT1G31710",769,1063,1228,3032,2717,5285
"AT1G31720",51,39,29,40,20,58
"AT1G31730",4096,7005,3856,7037,6944,6048
"AT1G31740",0,2,0,0,0,0
"AT1G31750",47,91,40,100,76,72
"AT1G31760",237,354,398,233,300,455
"AT1G31770",1369,1775,2334,1469,1080,2532
"AT1G31772",4,2,4,2,0,4
"AT1G31780",2046,3060,2004,3365,2618,2623
"AT1G31790",260,330,193,413,301,287
"AT1G31800",6422,10666,4737,6772,7143,5743
"AT1G31810",1615,2291,1656,2534,2206,2176
"AT1G31812",17419,22266,14691,20761,15954,16934
"AT1G31814",325,571,288,505,362,397
"AT1G31817",2014,3505,1982,2496,3389,2852
"AT1G31820",349,521,249,667,616,434
"AT1G31830",859,1276,869,1793,1324,1522
"AT1G31835",206,279,224,190,238,315
"AT1G31840",99,174,89,188,133,173
"AT1G31850",3227,3779,3162,3051,2603,3640
"AT1G31860",2544,4059,2386,1989,2897,3022
"AT1G31870",1352,2063,1282,2198,1877,1896
"AT1G31875",0,0,0,0,0,0
"AT1G31880",156,282,203,408,285,372
"AT1G31885",50,84,64,100,53,82
"AT1G31910",12264,20573,12892,17770,19511,20515
"AT1G31920",482,632,268,569,314,307
"AT1G31930",2082,4504,2470,4930,4239,3473
"AT1G31935",106,168,157,188,124,186
"AT1G31940",1024,1646,797,1329,1064,1042
"AT1G31950",363,345,376,393,347,524
"AT1G31960",0,0,0,0,0,2
"AT1G31970",6805,11539,6971,8449,9542,9993
"AT1G31990",4,12,4,18,10,8
"AT1G32000",2,0,0,0,0,0
"AT1G32010",8,4,8,4,0,8
"AT1G32020",0,0,0,0,0,0
"AT1G32030",0,0,0,0,0,0
"AT1G32050",6344,9385,5532,7000,6742,6596
"AT1G32060",40506,78279,19965,36658,43154,19593
"AT1G32070",3043,4524,2010,3603,3248,2491
"AT1G32080",10624,20889,5400,9296,12087,5740
"AT1G32090",1697,2305,1408,2266,2193,2267
"AT1G32100",385,620,511,447,450,717
"AT1G32120",688,1070,604,874,1109,1005
"AT1G32130",3544,6150,3733,6055,5209,4886
"AT1G32140",0,0,0,0,0,0
"AT1G32150",699,1413,682,879,906,905
"AT1G32160",3142,5141,2178,3955,4404,3165
"AT1G32170",934,2117,1182,1823,1738,1671
"AT1G32172",4,4,2,6,0,6
"AT1G32180",10,1,14,7,3,10
"AT1G32190",454,600,523,368,443,707
"AT1G32200",3118,5002,2048,3927,3745,3007
"AT1G32210",1630,2569,1648,2093,1825,2275
"AT1G32220",3095,7050,2053,4089,5312,2795
"AT1G32225",0,0,0,0,0,0
"AT1G32230",12336,22662,11659,21413,17869,16731
"AT1G32240",702,745,503,539,669,732
"AT1G32250",0,0,0,0,0,2
"AT1G32260",766,1179,697,1126,1157,982
"AT1G32270",2,7,2,4,2,6
"AT1G32280",0,0,0,0,0,0
"AT1G32290",0,0,0,0,0,0
"AT1G32300",0,0,0,0,0,0
"AT1G32310",607,874,506,1044,729,696
"AT1G32320",0,2,0,2,0,0
"AT1G32330",876,1371,767,1342,1359,1103
"AT1G32337",0,0,0,0,0,0
"AT1G32340",779,1521,679,1971,1572,1076
"AT1G32350",657,2463,990,697,3724,1918
"AT1G32360",1411,2263,1116,2222,1942,1649
"AT1G32361",0,0,0,0,0,0
"AT1G32370",569,880,439,888,803,769
"AT1G32375",8,7,12,12,8,12
"AT1G32380",2864,5532,2765,4474,7097,5618
"AT1G32385",16,51,38,26,36,51
"AT1G32400",4756,8908,4341,7920,7429,6084
"AT1G32410",1068,1687,929,1499,1381,1120
"AT1G32415",182,230,168,249,160,254
"AT1G32420",0,0,0,0,0,0
"AT1G32430",0,0,0,0,0,0
"AT1G32440",3292,6148,3355,3649,4668,4042
"AT1G32450",2175,1455,2116,956,692,1726
"AT1G32460",2486,4392,2222,5878,3912,4005
"AT1G32470",17559,28415,10570,18735,17648,11458
"AT1G32480",0,2,0,0,2,0
"AT1G32490",2337,3406,2107,3368,2974,3069
"AT1G32500",4995,8840,3906,6496,7838,5420
"AT1G32510",19,9,19,4,9,35
"AT1G32520",716,1386,481,558,872,521
"AT1G32530",2102,3755,2010,4894,3656,3255
"AT1G32540",558,561,493,1967,549,584
"AT1G32550",2141,3222,1332,2394,2128,1505
"AT1G32560",12,18,4,34,29,19
"AT1G32570",10,2,7,17,14,13
"AT1G32580",3613,5795,4189,4863,5418,6239
"AT1G32582",4,3,8,4,4,2
"AT1G32583",130,226,158,122,182,243
"AT1G32585",0,1,1,0,0,0
"AT1G32600",0,1,3,1,3,1
"AT1G32610",116,128,102,204,226,176
"AT1G32620",0,0,0,0,0,2
"AT1G32630",214,345,233,510,401,417
"AT1G32640",2972,4912,2854,12213,18837,14706
"AT1G32650",0,0,0,0,1,0
"AT1G32660",1,0,0,1,0,0
"AT1G32670",0,0,0,0,0,0
"AT1G32690",263,472,205,816,900,600
"AT1G32700",2826,4840,2556,3803,3661,3271
"AT1G32710",0,0,0,2,0,0
"AT1G32713",0,0,0,0,0,0
"AT1G32720",0,2,0,0,0,2
"AT1G32730",362,553,378,358,469,456
"AT1G32740",222,336,147,301,299,299
"AT1G32750",2643,4046,2401,4755,3666,3514
"AT1G32760",155,317,170,225,228,249
"AT1G32763",0,0,2,0,0,0
"AT1G32770",0,0,0,0,0,0
"AT1G32780",278,754,157,157,447,199
"AT1G32790",5269,10250,5588,10176,9391,8771
"AT1G32810",1287,2139,1248,2453,1824,1605
"AT1G32850",4,4,2,12,5,5
"AT1G32860",807,884,913,578,522,1001
"AT1G32870",1707,3739,1706,2539,2512,2260
"AT1G32880",10,23,17,65,16,22
"AT1G32900",3856,11395,4672,4563,11746,8998
"AT1G32910",18,47,71,105,100,168
"AT1G32920",7020,13896,7087,4604,11524,10025
"AT1G32928",934,1233,623,397,1080,730
"AT1G32930",359,487,429,393,296,492
"AT1G32940",1213,2754,1118,1633,2499,1510
"AT1G32950",46,88,60,65,65,52
"AT1G32960",124,444,210,238,558,341
"AT1G32970",12,6,25,201,184,617
"AT1G32975",0,0,0,0,0,0
"AT1G32980",1,0,1,0,0,0
"AT1G32990",10489,14705,6495,12099,10856,8287
"AT1G32992",0,0,0,0,0,0
"AT1G33010",0,0,0,0,0,0
"AT1G33020",0,4,5,6,4,4
"AT1G33030",182,426,378,758,572,505
"AT1G33040",3014,4722,2491,2569,3331,3000
"AT1G33050",2184,4434,2206,16025,2932,2830
"AT1G33055",163,782,512,9134,135,382
"AT1G33060",828,1446,888,1785,1212,1139
"AT1G33070",0,0,0,0,0,0
"AT1G33080",538,555,380,565,434,554
"AT1G33090",22,34,27,18,19,39
"AT1G33100",3,65,10,54,67,17
"AT1G33102",93,124,80,68,80,66
"AT1G33110",5609,12237,5147,10349,16263,11861
"AT1G33120",7910,11002,7174,9098,10011,10477
"AT1G33140",8192,9755,6374,9388,8464,10099
"AT1G33170",1259,1454,819,620,688,703
"AT1G33220",0,0,0,2,0,0
"AT1G33230",1487,2333,1454,2229,2181,2149
"AT1G33240",3630,5287,2644,6155,2634,2401
"AT1G33250",1112,1844,1065,2336,1671,1394
"AT1G33260",352,708,361,430,714,745
"AT1G33265",1004,1235,721,1131,1071,1127
"AT1G33270",1110,1960,1094,1764,1649,1361
"AT1G33280",26,50,39,16,35,36
"AT1G33290",1680,2608,1233,2749,2139,1782
"AT1G33320",0,16,16,10,6,10
"AT1G33330",801,1121,463,1125,932,820
"AT1G33340",53,71,64,50,41,114
"AT1G33350",201,284,202,290,249,251
"AT1G33360",929,1242,964,1864,1130,1405
"AT1G33370",0,2,0,0,0,0
"AT1G33390",1469,2234,1397,2131,1889,1999
"AT1G33400",666,1023,543,953,665,787
"AT1G33410",3283,5047,3527,4725,4159,4716
"AT1G33415",870,1285,826,1306,1027,1083
"AT1G33420",590,928,619,764,615,744
"AT1G33430",33,38,28,80,45,35
"AT1G33440",109,138,112,82,63,66
"AT1G33470",2805,3345,2548,3395,2484,3211
"AT1G33475",118,125,57,69,53,76
"AT1G33480",263,374,230,170,197,242
"AT1G33490",1714,2757,1299,2504,2374,2145
"AT1G33500",26,10,38,10,20,23
"AT1G33520",1483,2072,1320,2940,1975,1848
"AT1G33530",0,1,0,0,0,0
"AT1G33540",27,19,10,4,10,26
"AT1G33560",1752,4051,2187,1606,2499,2526
"AT1G33590",12517,34091,12563,36365,32641,19187
"AT1G33600",8143,20928,7831,10809,21489,12013
"AT1G33607",0,1,0,2,0,0
"AT1G33610",881,2370,1235,771,1086,1084
"AT1G33612",68,105,87,52,79,97
"AT1G33615",99,155,74,153,82,60
"AT1G33640",10,22,18,44,25,22
"AT1G33670",4,2,9,4,0,2
"AT1G33680",3048,4906,2937,4597,3982,4147
"AT1G33700",587,970,691,796,671,928
"AT1G33709",0,0,0,0,0,0
"AT1G33710",0,0,0,0,0,0
"AT1G33720",226,668,137,76,135,82
"AT1G33730",0,2,0,18,2,0
"AT1G33750",495,348,374,361,312,563
"AT1G33760",164,327,129,97,149,144
"AT1G33770",6,22,11,37,8,10
"AT1G33780",1632,2675,1247,2569,2018,1675
"AT1G33790",971,1336,789,1077,451,766
"AT1G33800",633,948,917,537,613,1165
"AT1G33810",2571,3691,1701,2865,2660,2375
"AT1G33811",1044,3212,1153,1882,2126,1317
"AT1G33820",0,0,0,0,0,0
"AT1G33830",0,0,0,0,0,0
"AT1G33840",4,4,4,4,2,0
"AT1G33850",0,0,0,0,0,0
"AT1G33860",0,0,0,0,0,0
"AT1G33870",2,10,8,8,2,5
"AT1G33880",2,1,2,4,0,5
"AT1G33890",2,18,6,14,0,5
"AT1G33900",0,10,2,0,0,4
"AT1G33910",3,4,3,5,0,10
"AT1G33920",0,0,0,0,0,0
"AT1G33925",0,0,0,0,0,0
"AT1G33930",82,75,39,50,55,28
"AT1G33940",0,0,0,0,0,0
"AT1G33950",2,8,6,10,4,10
"AT1G33960",302,1030,1439,269,519,1781
"AT1G33970",1467,1974,1218,1970,1392,1454
"AT1G33980",2417,4192,2216,4019,3379,3257
"AT1G33990",3099,5853,3370,4364,4018,3924
"AT1G34000",6239,10930,4218,6883,7479,4898
"AT1G34010",774,1066,621,762,636,804
"AT1G34020",1327,1613,1192,1562,1265,1567
"AT1G34030",9913,16150,9780,11208,13171,15211
"AT1G34040",133,124,155,85,59,153
"AT1G34041",0,0,4,0,0,0
"AT1G34042",0,0,0,0,0,0
"AT1G34046",0,0,2,0,0,0
"AT1G34047",0,4,0,2,0,1
"AT1G34050",4,0,8,0,2,11
"AT1G34060",66,120,60,25,75,69
"AT1G34065",346,462,407,276,353,480
"AT1G34070",0,0,0,0,0,0
"AT1G34095",0,0,0,0,0,0
"AT1G34110",908,1220,813,1272,1008,1085
"AT1G34120",399,642,355,648,439,496
"AT1G34130",2026,3100,2279,2630,2644,2760
"AT1G34140",0,0,0,0,0,0
"AT1G34150",615,1103,600,1291,873,920
"AT1G34160",315,420,338,471,434,488
"AT1G34170",0,1,0,0,0,0
"AT1G34180",123,410,270,306,341,374
"AT1G34190",2733,4656,2522,5052,4107,3406
"AT1G34200",1137,2211,973,2521,1936,1535
"AT1G34210",2581,4433,1937,4770,5723,4166
"AT1G34220",1307,2324,1293,2543,1920,1724
"AT1G34245",202,197,160,185,182,189
"AT1G34260",1501,2887,1421,1990,2021,1529
"AT1G34270",394,668,429,616,513,522
"AT1G34280",0,0,0,0,0,0
"AT1G34290",0,0,0,0,0,0
"AT1G34300",1071,2213,1194,3233,2011,1479
"AT1G34310",0,0,0,2,0,0
"AT1G34315",442,687,530,801,717,1001
"AT1G34320",3035,4712,3132,4730,3567,4019
"AT1G34340",1473,1690,1211,2272,1282,1553
"AT1G34350",669,1060,613,713,787,830
"AT1G34355",459,402,415,365,286,397
"AT1G34360",934,1685,1038,1231,1514,1566
"AT1G34370",4368,9366,5708,8967,8258,8351
"AT1G34380",493,498,420,500,420,570
"AT1G34390",0,0,0,0,0,1
"AT1G34392",0,0,0,0,0,0
"AT1G34400",0,1,0,2,0,1
"AT1G34410",0,0,0,1,0,0
"AT1G34418",1420,2222,1337,1929,2130,1946
"AT1G34419",0,0,0,0,0,0
"AT1G34420",160,237,270,284,207,441
"AT1G34430",4285,6166,3647,4916,4996,5293
"AT1G34440",1,11,4,12,11,2
"AT1G34460",45,39,29,87,51,36
"AT1G34470",672,974,609,867,596,827
"AT1G34480",10,28,25,27,20,28
"AT1G34490",0,0,0,0,0,2
"AT1G34500",2,4,0,0,0,2
"AT1G34510",75,115,112,391,224,469
"AT1G34520",2,6,0,4,0,6
"AT1G34540",0,16,9,34,24,31
"AT1G34550",2316,3684,2452,2953,2683,2927
"AT1G34560",0,4,0,0,0,0
"AT1G34570",744,1209,639,730,674,831
"AT1G34575",0,0,0,0,0,0
"AT1G34580",44,162,36,79,142,83
"AT1G34630",983,1554,704,1895,1615,1203
"AT1G34640",341,647,235,243,300,243
"AT1G34650",2,3,0,0,0,0
"AT1G34670",138,170,171,121,115,141
"AT1G34750",684,1472,1128,568,645,809
"AT1G34760",213,287,149,606,188,191
"AT1G34770",429,516,449,476,376,514
"AT1G34780",959,1509,816,1643,1286,1158
"AT1G34790",0,0,0,0,0,0
"AT1G34792",0,0,0,0,0,0
"AT1G34795",0,0,0,0,0,0
"AT1G34800",0,0,0,0,0,0
"AT1G34805",0,0,0,0,0,0
"AT1G34810",0,0,0,0,0,0
"AT1G34815",0,0,0,0,0,0
"AT1G34820",0,0,0,0,0,0
"AT1G34825",0,0,0,0,0,0
"AT1G34830",0,0,0,0,0,0
"AT1G34840",0,0,0,0,0,0
"AT1G34844",206,274,127,338,250,251
"AT1G34850",0,0,0,0,0,0
"AT1G34860",0,0,0,0,0,0
"AT1G34910",0,0,0,0,0,0
"AT1G34930",0,0,0,0,0,0
"AT1G35030",0,0,0,0,0,0
"AT1G35035",0,0,0,0,0,0
"AT1G35040",0,0,0,0,0,0
"AT1G35140",2302,8611,3625,2360,2153,2865
"AT1G35150",0,0,0,0,0,0
"AT1G35160",4551,7025,4379,5998,5248,5969
"AT1G35170",0,1,4,0,2,0
"AT1G35180",242,377,162,124,206,140
"AT1G35181",0,0,0,0,0,0
"AT1G35183",0,6,2,0,4,3
"AT1G35190",1413,3017,1333,3336,3008,2291
"AT1G35210",473,939,439,141,1230,548
"AT1G35220",1551,2433,1737,2252,1951,2275
"AT1G35230",255,721,397,68,290,276
"AT1G35240",14,10,8,17,18,49
"AT1G35242",0,2,0,1,0,4
"AT1G35250",173,123,159,269,291,486
"AT1G35255",8,34,20,25,20,57
"AT1G35260",449,368,434,906,655,1594
"AT1G35290",311,798,213,241,238,138
"AT1G35310",224,413,168,83,140,78
"AT1G35320",1420,2449,1914,1667,2505,2803
"AT1G35330",30,58,35,62,59,100
"AT1G35333",0,0,0,0,0,1
"AT1G35340",2393,3153,1904,3612,2331,2355
"AT1G35350",1863,5662,2539,3603,4376,3117
"AT1G35365",0,0,0,0,0,0
"AT1G35375",0,0,0,0,0,0
"AT1G35400",0,0,0,0,0,0
"AT1G35410",0,0,0,0,0,0
"AT1G35420",1996,3381,1213,2763,2636,1580
"AT1G35430",231,438,299,277,324,343
"AT1G35435",0,0,0,0,0,0
"AT1G35440",0,0,0,0,0,0
"AT1G35460",903,1656,608,963,1263,728
"AT1G35461",0,0,0,0,0,0
"AT1G35467",0,0,0,0,0,0
"AT1G35470",1072,1867,1045,1583,1738,1341
"AT1G35490",0,0,0,0,0,0
"AT1G35500",0,0,0,2,0,0
"AT1G35501",0,0,0,0,0,0
"AT1G35510",1633,2347,1447,2036,2113,2048
"AT1G35515",2759,4550,2508,5452,3160,3631
"AT1G35516",2623,4456,2381,5325,3109,3470
"AT1G35520",0,0,0,0,0,1
"AT1G35530",213,259,203,159,177,314
"AT1G35537",0,0,0,0,0,0
"AT1G35540",2,0,3,0,2,1
"AT1G35545",0,0,0,0,2,0
"AT1G35550",0,0,0,0,2,0
"AT1G35560",1020,1732,993,1163,1441,1422
"AT1G35580",4749,8410,4272,11761,8889,8907
"AT1G35610",19,22,20,8,4,24
"AT1G35614",0,0,0,0,0,0
"AT1G35617",0,2,2,4,1,0
"AT1G35620",1926,2931,1687,2326,1932,2060
"AT1G35625",2,3,4,46,35,63
"AT1G35630",0,0,2,4,8,0
"AT1G35660",692,1250,624,1067,1232,977
"AT1G35670",1376,2887,1251,4923,2352,2055
"AT1G35680",16251,20719,10025,17108,15273,11665
"AT1G35710",1214,3465,1487,649,776,884
"AT1G35720",10718,17689,11306,18323,16670,22517
"AT1G35730",9,6,6,4,4,2
"AT1G35750",0,0,0,0,0,0
"AT1G35780",1491,1902,1354,1603,1459,1804
"AT1G35820",0,0,0,0,0,0
"AT1G35830",155,163,161,209,158,250
"AT1G35850",0,0,0,0,0,0
"AT1G35860",0,0,0,0,0,0
"AT1G35880",8,2,4,4,2,2
"AT1G35890",0,0,0,0,0,0
"AT1G35900",0,0,0,0,0,0
"AT1G35910",86,90,125,120,153,481
"AT1G36000",0,0,0,0,0,0
"AT1G36020",2,2,0,0,0,0
"AT1G36030",0,0,0,0,0,0
"AT1G36050",2605,4386,2492,4495,3579,3326
"AT1G36060",760,1401,1133,506,825,1109
"AT1G36070",845,1272,800,1574,990,1070
"AT1G36078",0,0,0,0,0,0
"AT1G36095",0,0,0,0,0,0
"AT1G36100",0,0,0,0,0,0
"AT1G36150",0,0,0,0,0,0
"AT1G36160",8501,17000,7578,10818,11597,10732
"AT1G36180",497,520,477,468,435,634
"AT1G36230",0,0,0,0,0,0
"AT1G36240",0,0,0,0,0,0
"AT1G36272",0,0,0,0,0,1
"AT1G36280",1077,1643,1065,990,1301,1300
"AT1G36310",2027,2901,2000,2297,2275,2740
"AT1G36320",4667,7233,3829,5904,5629,4588
"AT1G36340",0,0,2,0,0,0
"AT1G36350",0,0,0,0,0,0
"AT1G36370",4587,9099,4139,2782,13469,6062
"AT1G36380",616,806,417,816,881,570
"AT1G36390",2754,3919,2236,2748,3192,2761
"AT1G36510",0,0,0,0,0,0
"AT1G36580",0,2,0,4,2,0
"AT1G36622",562,941,805,361,773,989
"AT1G36640",15,19,23,14,7,18
"AT1G36675",4,2,0,0,2,1
"AT1G36730",12579,24440,10603,15056,19296,15493
"AT1G36732",12579,24440,10603,15056,19296,15493
"AT1G36745",0,0,0,0,0,0
"AT1G36756",0,0,0,0,0,0
"AT1G36920",0,2,0,0,0,1
"AT1G36922",2,0,0,2,0,4
"AT1G36925",0,0,0,0,0,0
"AT1G36940",195,328,192,127,160,157
"AT1G36942",0,0,0,0,0,0
"AT1G36950",0,0,0,0,0,0
"AT1G36960",0,0,0,0,0,0
"AT1G36970",0,0,0,0,0,0
"AT1G36980",2058,3290,1515,3702,2549,2191
"AT1G36990",1376,2233,1368,2304,1844,1932
"AT1G36992",287,501,296,561,380,466
"AT1G37000",0,2,0,1,2,0
"AT1G37007",0,0,0,0,0,0
"AT1G37010",0,0,0,0,0,0
"AT1G37020",0,0,0,0,0,0
"AT1G37113",0,0,0,0,0,0
"AT1G37130",86906,211065,98221,189255,199899,137305
"AT1G37140",2,8,2,2,0,5
"AT1G37150",50,73,66,73,60,55
"AT1G37162",0,0,0,0,0,0
"AT1G38065",94,36,29,17,34,39
"AT1G38131",178,195,181,87,143,175
"AT1G38630",0,0,0,0,0,0
"AT1G38790",0,0,0,0,0,0
"AT1G38950",0,0,0,0,0,0
"AT1G40083",0,0,0,0,0,0
"AT1G40087",0,0,0,0,0,0
"AT1G40104",0,0,0,0,0,0
"AT1G40129",0,0,0,0,0,0
"AT1G40390",0,0,0,0,0,0
"AT1G41820",0,0,0,0,0,0
"AT1G41830",4333,8633,4564,3076,4861,5012
"AT1G41875",5,1,1,2,0,5
"AT1G41880",13226,19100,12077,13684,16548,17701
"AT1G41920",0,0,0,0,0,0
"AT1G42080",0,0,0,0,0,0
"AT1G42120",0,0,0,0,0,0
"AT1G42190",0,0,0,0,0,0
"AT1G42430",1226,1679,994,1196,1221,1256
"AT1G42440",3687,6679,4127,4904,5940,6428
"AT1G42470",1759,2930,1488,2709,2164,2002
"AT1G42480",1349,1488,1280,1426,1607,1667
"AT1G42525",0,0,0,0,0,0
"AT1G42540",1394,2313,1355,2683,3350,3028
"AT1G42550",4835,9885,3584,5789,6443,4360
"AT1G42560",6,16,20,38,32,16
"AT1G42680",0,2,2,4,6,2
"AT1G42699",0,0,0,0,0,0
"AT1G42700",0,0,0,0,0,0
"AT1G42710",0,0,0,0,0,0
"AT1G42960",6229,10973,5511,8240,8563,6409
"AT1G42970",68815,138585,38700,70502,85884,42425
"AT1G42980",36,61,48,16,73,65
"AT1G42990",3277,8388,3601,3914,6497,4538
"AT1G43000",20,33,19,5,24,18
"AT1G43005",2,0,0,0,0,2
"AT1G43010",12,14,20,13,14,27
"AT1G43020",60,82,100,65,66,142
"AT1G43040",3,2,2,0,2,3
"AT1G43080",0,0,0,0,0,0
"AT1G43090",0,0,0,0,0,0
"AT1G43100",0,0,0,0,0,0
"AT1G43130",1324,2112,1237,2429,1691,1642
"AT1G43140",11,17,26,2,9,20
"AT1G43145",0,0,0,0,0,0
"AT1G43160",702,1581,599,7234,10932,6862
"AT1G43170",40320,68979,40126,44086,60399,61915
"AT1G43171",0,0,0,0,0,0
"AT1G43190",3521,5366,2895,4579,4161,3897
"AT1G43245",248,473,170,660,314,308
"AT1G43260",2,0,0,2,0,2
"AT1G43310",0,0,2,0,0,0
"AT1G43320",0,0,0,0,0,0
"AT1G43330",0,0,0,0,0,0
"AT1G43415",0,0,0,0,0,0
"AT1G43560",4129,6518,2509,4646,4469,3005
"AT1G43580",991,1333,867,1308,1085,1253
"AT1G43600",6,13,2,12,2,0
"AT1G43610",0,0,0,0,0,0
"AT1G43620",946,1399,895,1067,1042,1132
