gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,uniprot_id,ipath_id
AT3G49570,72.59337076685532,1.4171392442923956,0.3440091992099383,4.1194806637352706,3.797272871084346e-5,8.784558182990119e-4,Q9SCK2,UNIPROT:Q9SCK2
AT3G51238,300.5953008167889,3.5582835507681008,0.7863908643930804,4.524828188987557,6.04445890770851e-6,1.9658426802001262e-4,NA,NA
AT3G51240,493.7631504315806,3.4570697784676336,0.7331128964284274,4.715603552071931,2.409952852628281e-6,9.157415124019012e-5,F4J3A5,UNIPROT:F4J3A5
AT3G51410,200.51304703037695,1.0852377205926538,0.28591360146852396,3.795684133313703,1.4723686582031898e-4,0.002552444929670061,Q6NMZ5,UNIPROT:Q6NMZ5
AT3G51820,1789.3839217827465,1.1750373594889425,0.23081609385732382,5.090794752879224,3.565658257600591e-7,1.977407187525871e-5,Q38833,UNIPROT:Q38833
AT3G51895,459.3857242993517,1.4287072592119137,0.3219746038171375,4.437329038607451,9.108201032118986e-6,2.774375242860427e-4,A0A1I9LNF9,UNIPROT:A0A1I9LNF9
AT3G52150,2225.3842199588,1.2081548340997585,0.2619213325251835,4.612662979574584,3.975426067239943e-6,1.3911525854832987e-4,Q8VYM4,UNIPROT:Q8VYM4
AT3G52180,424.5509565739601,1.5031746021688241,0.23084968559443106,6.511486460543337,7.441073661222078e-11,1.7314688000767372e-8,A0A1I9LQR5,UNIPROT:A0A1I9LQR5
AT3G52720,220.13810315268208,1.7285318675062424,0.3430322536423488,5.038977673826668,4.6802507094442067e-7,2.43967526011236e-5,O04846,UNIPROT:O04846
AT3G52960,6013.192699336645,1.0362780958419038,0.16982063142562107,6.102191984227654,1.0462359769756771e-9,1.5235220797624523e-7,Q949U7,UNIPROT:Q949U7
AT3G53560,788.3330767379872,1.0443639609484872,0.21757349904877882,4.8000513183563145,1.586249779306203e-6,6.446022269901727e-5,A0A384KTJ9,UNIPROT:A0A384KTJ9
AT3G53900,269.95222786773587,1.4523497883373861,0.2744654730956062,5.291557338549029,1.2127915372069402e-7,8.245155959728267e-6,Q9M336,UNIPROT:Q9M336
AT3G54090,473.3684708504071,1.0330978443765253,0.2125084313292528,4.861444027958972,1.1653253196880124e-6,5.137218318491822e-5,Q9M394,UNIPROT:Q9M394
AT3G54400,2693.1223668610223,1.628698694465315,0.3318265883672782,4.908282674029152,9.187736522389345e-7,4.240826197277094e-5,Q9M2U7,UNIPROT:Q9M2U7
AT3G55120,274.33123544392555,2.448692731413549,0.31226173845775157,7.841795615138589,4.44148871346041e-15,2.9484953456327917e-12,P41088,UNIPROT:P41088
AT3G55130,472.7497230011595,1.0979670160235722,0.2172773429869199,5.053297324653265,4.3424708949170833e-7,2.3007960227505512e-5,Q9M3D6,UNIPROT:Q9M3D6
