gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,uniprot_id,ipath_id
AT2G30340,126.92603967703168,-1.2048921230256573,0.32907960231364436,-3.6614002039460343,2.50840569313406e-4,0.003850926311587358,A0A384LQ09,UNIPROT:A0A384LQ09
AT2G30400,80.14471450145817,-2.1093316804940754,0.38467421109643996,-5.4834236859336905,4.171722824115001e-8,3.3870487720539457e-6,O04351,UNIPROT:O04351
AT2G30840,108.87664016241101,-1.5038218166951463,0.3424143875194575,-4.3918184267584035,1.1240655651924552e-5,3.2821842007708804e-4,A0A178VSB2,UNIPROT:A0A178VSB2
AT2G31110,183.7184573357045,-1.4204633416240022,0.34637479507545654,-4.100943145457681,4.114696551910138e-5,9.352750843218905e-4,A0A1P8B0F5,UNIPROT:A0A1P8B0F5
AT2G31900,356.53815526771706,-1.0500401567520457,0.20886265080398145,-5.0274194678181745,4.971241458036571e-7,2.5676405251566004e-5,A0A178VXC9,UNIPROT:A0A178VXC9
AT2G31945,33.27956450755514,-1.4289350578732867,0.4164450301852435,-3.431269325600227,6.007638243771494e-4,0.007639346636629092,A0A178VRQ6,UNIPROT:A0A178VRQ6
AT2G32150,1804.6627211376262,-1.2925565950323075,0.17824010758893008,-7.251771851559318,4.113543821273326e-13,1.8205254429403968e-10,A0A178VP96,UNIPROT:A0A178VP96
AT2G33830,4196.121837177802,-1.851745847890743,0.24034390415199985,-7.704567562985287,1.3128710507574056e-14,7.798108549117211e-12,P93017,UNIPROT:P93017
AT2G34140,56.497729403944035,-1.3001140723380942,0.3638699209446026,-3.5730188111262713,3.528894000295587e-4,0.005025278642313671,O22967,UNIPROT:O22967
AT2G34790,90.43239878731443,-1.048616406244653,0.2980822633439069,-3.517875885942369,4.3501577214333145e-4,0.005922039199666546,O64743,UNIPROT:O64743
AT2G35000,286.4733481852914,-1.1603796722214943,0.27549189267663926,-4.212028386561266,2.5308772952379008e-5,6.256783289245855e-4,O64763,UNIPROT:O64763
AT2G35270,131.62336276856163,-1.2972498887084125,0.3554623305694292,-3.649472186350369,2.627796889746062e-4,0.003978001582726919,O82166,UNIPROT:O82166
AT2G36120,750.0386266938981,-1.640821533811877,0.24264670114068596,-6.762183561937373,1.3592732945874832e-11,4.1608198865597706e-9,Q9SIH2,UNIPROT:Q9SIH2
AT2G36320,3777.836092520053,-1.1212676111178652,0.315571755491184,-3.5531304421481713,3.8067565186154486e-4,0.005313685923418014,Q9SJM6,UNIPROT:Q9SJM6
AT2G36690,128.0056247947103,-1.693065578876524,0.26577681643852075,-6.3702530625659834,1.887165581953986e-10,3.579429777334741e-8,F4INZ9,UNIPROT:F4INZ9
AT2G36950,2204.947340284657,-1.6603453101611603,0.3530588473327982,-4.702743813685245,2.5668841485016913e-6,9.688485303650781e-5,Q9SJL2,UNIPROT:Q9SJL2
AT2G37180,1047.0171028608688,-1.4392081095083105,0.3654480460657644,-3.9382016814759955,8.209457882564507e-5,0.00162682768979248,P30302,UNIPROT:P30302
AT2G37750,2484.0934469342055,-1.171640584598058,0.2932027945627978,-3.9960075631104446,6.441967663326501e-5,0.001352573508176209,NA,NA
AT2G38400,823.0297906283383,-1.553743015302661,0.21101840454815426,-7.3630687267759045,1.7972977716281962e-13,8.451418334045837e-11,F4ISY3,UNIPROT:F4ISY3
AT2G38800,3162.818388378927,-1.4199941589543768,0.25486538958432564,-5.571545674641525,2.524891496909002e-8,2.2348755284993367e-6,Q9SII1,UNIPROT:Q9SII1
AT2G39370,220.87342902979947,-2.114385069389827,0.32361728543085677,-6.533597445435532,6.420838377308303e-11,1.52552361067606e-8,O80624,UNIPROT:O80624
AT2G39855,35.16989197911822,-2.1527622232925894,0.47161324072092536,-4.564677234256184,5.002634127911509e-6,1.6802746265043254e-4,A0A1P8B0K6,UNIPROT:A0A1P8B0K6
AT2G40320,129.77421521548365,-1.7383804178714881,0.32397953909974325,-5.365710509688375,8.063117714520389e-8,5.9474715664849575e-6,F4IH21,UNIPROT:F4IH21
AT2G40900,655.2354726787588,-2.042978330214093,0.2848978828597605,-7.1709143981941725,7.449847799480292e-13,3.0572820851285393e-10,F4IJ08,UNIPROT:F4IJ08
AT2G41800,98.28598826636915,-1.2046343908660724,0.33761807110076864,-3.5680388402744176,3.596631988626862e-4,0.005099219887895534,O22940,UNIPROT:O22940
AT2G42060,98.86813454819281,-1.514419162100222,0.2868551183613968,-5.279386927976193,1.2961683576825748e-7,8.70708809561113e-6,A0A178VY89,UNIPROT:A0A178VY89
AT2G42890,2068.1663196934956,-1.1381758474311416,0.23459468763049016,-4.851669314967102,1.2242662942554823e-6,5.3345394841004806e-5,Q9SJG8,UNIPROT:Q9SJG8
AT2G43610,892.4566641626278,-2.0848803830213773,0.3160834223229048,-6.595981426990193,4.2245181265263025e-11,1.0713662767845525e-8,O22842,UNIPROT:O22842
AT2G44010,234.81378649871564,-1.5150593657478564,0.2707610461138515,-5.595558842355756,2.1991224425253156e-8,2.009570552641251e-6,O80571,UNIPROT:O80571
AT2G44130,1706.0006717510842,-1.145563884353034,0.3302878565663856,-3.468380267631134,5.236057939885762e-4,0.006859144733671592,O80582,UNIPROT:O80582
AT2G44370,120.28326105667847,-1.2967962110959297,0.2693242019275638,-4.815000663938513,1.4719940075732484e-6,6.187034775593257e-5,O64871,UNIPROT:O64871
AT2G44380,302.96253495958746,-1.3535275841419367,0.3766857656248221,-3.593253867442515,3.265741283721669e-4,0.004726837210351882,O64872,UNIPROT:O64872
AT2G45830,231.3259407570852,-1.6508013432380244,0.28723979054886395,-5.74711929737742,9.07766851662153e-9,9.365414836436896e-7,F4IH50,UNIPROT:F4IH50
AT2G46690,406.7372179193689,-1.1791017894209486,0.2390596900971282,-4.9322484645650135,8.128842324745051e-7,3.870803799827438e-5,Q9ZUZ3,UNIPROT:Q9ZUZ3
