gene,Atha_WT_Col_0_sl_FLT_Rep1_G1S1,Atha_WT_Col_0_sl_FLT_Rep2_G1S2,Atha_WT_Col_0_sl_FLT_Rep3_G1S3,Atha_WT_Col_0_sl_GC_Rep1_G2S1,Atha_WT_Col_0_sl_GC_Rep2_G2S2,Atha_WT_Col_0_sl_GC_Rep3_G2S3
AT1G04167,0,0,0,0,0,0
AT1G04170,2837,1538,1545,1479,1708,2321
AT1G04173,0,0,0,0,0,0
AT1G04177,1,0,1,0,0,1
AT1G04180,66,42,79,79,106,102
AT1G04183,139,373,448,195,525,321
AT1G04187,1,0,0,0,0,1
AT1G04190,564,296,329,263,403,457
AT1G04193,2,0,1,0,0,1
AT1G04197,0,0,0,0,0,0
AT1G04200,843,436,413,357,571,565
AT1G04203,1,0,0,2,1,2
AT1G04207,0,0,0,0,0,0
AT1G04210,1314,845,810,660,1099,1223
AT1G04213,0,0,0,0,0,0
AT1G04217,2,1,5,2,1,4
AT1G04220,4501,1721,1814,819,2342,1841
AT1G04223,0,0,0,0,0,0
AT1G04227,0,0,0,0,0,0
AT1G04230,291,239,215,202,384,367
AT1G04233,234,163,163,228,272,322
AT1G04237,1,0,1,1,0,1
AT1G04240,657,553,432,255,1031,813
AT1G04243,0,0,0,0,1,0
AT1G04247,3233,1274,1339,546,1755,1258
AT1G04250,4605,3897,3312,5357,5286,5939
AT1G04253,0,1,2,4,2,1
AT1G04257,0,0,1,1,0,2
AT1G04260,573,388,395,466,585,607
AT1G04263,4,4,3,0,5,2
AT1G04267,1,0,1,0,1,0
AT1G04270,6014,3970,3999,4776,4425,5078
AT1G04273,8,0,2,0,1,1
AT1G04277,0,0,0,0,0,1
AT1G04280,1182,792,754,890,1284,1421
AT1G04283,0,0,0,0,0,0
AT1G04287,0,1,1,0,0,0
AT1G04290,259,220,242,71,243,160
AT1G04293,0,0,0,0,0,1
AT1G04295,69,27,29,27,33,35
AT1G04297,4,2,4,2,2,1
AT1G04300,3294,1982,2064,5004,3253,5055
AT1G04303,0,1,1,0,3,0
AT1G04307,1,2,5,3,4,3
AT1G04310,551,345,343,346,493,479
AT1G04313,0,0,0,0,1,0
AT1G04320,0,0,0,0,0,0
AT1G04323,0,0,0,1,0,0
AT1G04327,0,0,0,0,0,1
AT1G04330,4,8,15,11,14,21
AT1G04333,0,1,0,2,1,0
AT1G04337,2,1,2,0,1,0
AT1G04340,383,280,261,195,351,377
AT1G04343,10,10,14,9,21,13
AT1G04347,1,1,1,2,3,2
AT1G04350,80,55,54,81,81,130
AT1G04353,73,51,55,57,45,70
AT1G04357,2,2,3,1,2,5
AT1G04360,165,82,93,142,137,155
AT1G04363,0,0,0,0,0,0
AT1G04367,0,2,2,2,3,0
AT1G04370,2,0,6,9,4,3
AT1G04373,0,1,0,0,0,0
AT1G04377,0,0,2,0,0,0
AT1G04380,4,2,6,11,7,8
AT1G04383,0,0,0,0,0,0
AT1G04387,0,0,0,2,0,0
