gene,root_control_1,root_control_2,root_control_3,root_ABA_1,root_ABA_2,root_ABA_3
AT1G70780,15153,15952,22339,22220,29000,24354
AT1G70782,15153,15952,22339,22220,29000,24354
AT1G70790,985,853,1279,952,1181,1150
AT1G70800,396,327,535,406,436,431
AT1G70810,1656,1441,1534,868,1061,846
AT1G70820,8,2,4,41,0,2
AT1G70830,109,75,92,137,81,52
AT1G70840,5,3,11,4,2,3
AT1G70850,25535,14329,20018,10767,7821,10437
AT1G70860,96,78,73,50,34,28
AT1G70870,0,1,0,0,0,4
AT1G70880,453,336,418,111,82,95
AT1G70890,532,310,470,200,247,245
AT1G70895,458,466,630,372,561,390
AT1G70900,1845,1522,2077,1881,2254,2123
AT1G70910,0,4,4,11,4,4
AT1G70920,208,167,259,148,166,178
AT1G70940,4026,3044,5605,3844,4127,5787
AT1G70944,0,0,0,1,0,0
AT1G70949,8,9,5,0,10,9
AT1G70950,1967,2215,2870,1045,1275,1360
AT1G70960,0,0,2,0,0,2
AT1G70970,0,2,0,0,0,0
AT1G70980,3293,3285,4095,2881,3360,3498
AT1G70985,58,49,116,14,16,30
AT1G70990,660,510,1364,162,146,270
AT1G71000,44,60,40,85,129,54
AT1G71002,10,8,17,7,0,15
AT1G71010,12206,10489,14006,5963,6301,7612
AT1G71015,414,529,692,195,225,223
AT1G71020,2212,2370,2824,1420,1623,1477
AT1G71030,41,51,60,111,80,107
AT1G71040,2527,1766,3960,1912,1856,3113
AT1G71050,22,12,10,544,353,254
AT1G71060,566,493,533,252,239,264
AT1G71070,5182,4927,6995,3220,3624,3710
AT1G71080,5437,4896,5834,4935,5886,5045
AT1G71090,2453,2223,2755,1663,1924,1986
AT1G71100,1890,1643,2518,725,989,1000
AT1G71110,3519,3083,5059,2520,3032,3420
AT1G71120,6,0,7,2,1,2
AT1G71130,630,502,809,518,605,542
AT1G71140,472,320,497,960,921,667
AT1G71150,14,2,14,8,10,8
AT1G71160,2,0,0,0,3,0
AT1G71170,1635,1758,2386,1692,2005,1707
AT1G71180,1772,1361,1894,1194,1299,1137
AT1G71190,2321,1866,2942,1984,1959,2006
AT1G71200,886,1121,699,770,1259,641
AT1G71210,2207,2053,2571,973,1230,1260
AT1G71220,14845,13077,17785,8155,9227,10502
AT1G71230,1134,1079,1352,626,914,930
AT1G71235,0,0,0,4,4,0
AT1G71240,1235,1107,1437,1788,1815,1750
AT1G71250,165,113,131,78,93,78
AT1G71260,3285,3253,3316,1495,2548,1806
AT1G71270,5425,5216,7112,3722,4354,4662
AT1G71280,168,188,251,101,160,142
AT1G71290,3,3,5,0,0,3
AT1G71300,26,22,33,19,28,17
AT1G71310,1220,1140,1493,803,1045,965
AT1G71320,0,0,0,0,0,0
AT1G71330,351,346,414,312,372,455
AT1G71340,2133,2049,2254,2059,2792,2487
AT1G71350,2482,2286,2762,1929,2450,2183
