"genes","go"
"AT4G09010","GO:0020037"
"AT5G10720","GO:0000160"
"AT5G10720","GO:0000155"
"AT5G10720","GO:0007165"
"AT1G45249","GO:0003700"
"AT1G45249","GO:0045893"
"AT1G45249","GO:0003700"
"AT1G45249","GO:0045893"
"AT2G28510","GO:0003677"
"AT2G28510","GO:0006355"
"AT1G28580","GO:0016788"
"AT5G13530","GO:0004672"
"AT5G13530","GO:0005524"
"AT5G13530","GO:0006468"
"AT5G13530","GO:0004842"
"AT5G13530","GO:0006952"
"AT5G13530","GO:0009738"
"AT5G13530","GO:0016567"
"AT3G57430","GO:0008270"
"AT5G05690","GO:0004497"
"AT5G05690","GO:0005506"
"AT5G05690","GO:0016705"
"AT5G05690","GO:0020037"
"AT1G77000","GO:0005515"
"AT1G77000","GO:0005515"
"AT5G66005","GO:0017111"
"AT1G58440","GO:0004506"
"AT1G58440","GO:0016021"
"AT1G58440","GO:0050660"
"AT1G58440","GO:0016126"
"AT4G13020","GO:0004672"
"AT4G13020","GO:0005524"
"AT4G13020","GO:0006468"
"AT5G47770","GO:0008299"
"AT5G47770","GO:0016765"
"AT5G06860","GO:0005515"
"AT5G67480","GO:0005515"
"AT1G67470","GO:0004672"
"AT1G67470","GO:0005524"
"AT1G67470","GO:0006468"
"AT1G79720","GO:0004190"
"AT1G79720","GO:0006508"
"AT1G70530","GO:0004672"
"AT1G70530","GO:0005524"
"AT1G70530","GO:0006468"
"AT1G25500","GO:0022857"
"AT1G25500","GO:0055085"
"AT2G15970","GO:0016021"
"AT4G34060","GO:0019104"
"AT4G34060","GO:0035514"
"AT4G34060","GO:0080111"
"AT3G26300","GO:0004497"
"AT3G26300","GO:0005506"
"AT3G26300","GO:0016705"
"AT3G26300","GO:0020037"
"AT4G27860","GO:0005384"
"AT4G27860","GO:0030026"
"AT2G45460","GO:0005515"
"AT1G29500","GO:0009733"
"AT1G67300","GO:0016021"
"AT1G67300","GO:0022857"
"AT1G67300","GO:0055085"
"AT1G67300","GO:0016021"
"AT1G67300","GO:0022857"
"AT1G67300","GO:0055085"
"AT4G16760","GO:0003997"
"AT4G16760","GO:0005777"
"AT4G16760","GO:0006631"
"AT4G16760","GO:0071949"
"AT4G16760","GO:0006635"
"AT4G16760","GO:0016627"
"AT3G50280","GO:0016747"
"AT5G60980","GO:0003676"
"AT5G60980","GO:0003676"
"AT1G23820","GO:0003824"
"AT5G57630","GO:0004672"
"AT5G57630","GO:0005524"
"AT5G57630","GO:0006468"
"AT5G57630","GO:0007165"
"AT2G32520","GO:0016787"
"AT3G20430","GO:0006408"
"AT3G10480","GO:0003677"
"AT3G10480","GO:0006355"
"AT5G55450","GO:0005504"
"AT5G55450","GO:0009627"
"AT5G05590","GO:0004640"
"AT5G05590","GO:0006568"
"AT5G05590","GO:0000162"
"AT4G26140","GO:0004553"
"AT4G26140","GO:0005975"
"AT4G26140","GO:0004553"
"AT4G26140","GO:0005975"
"AT5G59870","GO:0003677"
"AT5G59870","GO:0000786"
"AT3G23510","GO:0016491"
"AT1G15790","GO:0003713"
"AT1G15790","GO:0031490"
"AT1G77210","GO:0015145"
"AT1G77210","GO:0015749"
"AT1G77210","GO:0016021"
"AT1G77210","GO:0022857"
"AT1G77210","GO:0055085"
"AT1G77210","GO:0015145"
"AT1G77210","GO:0015749"
"AT1G77210","GO:0016021"
"AT1G77210","GO:0022857"
"AT1G77210","GO:0055085"
"AT3G48350","GO:0006508"
"AT3G48350","GO:0008234"
"AT1G16060","GO:0003700"
"AT1G16060","GO:0006355"
"AT1G16060","GO:0003700"
"AT1G16060","GO:0006355"
"AT1G16060","GO:0003700"
"AT1G16060","GO:0006355"
"AT1G16060","GO:0003700"
"AT1G16060","GO:0006355"
"AT1G48480","GO:0005515"
"AT1G48480","GO:0004672"
"AT1G48480","GO:0006468"
"AT5G37720","GO:0003676"
"AT5G42750","GO:0005886"
"AT5G42750","GO:0019210"
"AT4G21390","GO:0004672"
"AT4G21390","GO:0006468"
"AT4G21390","GO:0048544"
"AT4G29130","GO:0005524"
"AT4G29130","GO:0005975"
"AT4G29130","GO:0016773"
"AT4G29130","GO:0001678"
"AT4G29130","GO:0004396"
"AT4G29130","GO:0005536"
"AT3G02875","GO:0016787"
"AT4G29160","GO:0007034"
"AT4G29160","GO:0007034"
"AT4G31860","GO:0016791"
"AT4G31860","GO:0004722"
"AT4G31860","GO:0006470"
"AT5G15700","GO:0003677"
"AT5G15700","GO:0003899"
"AT5G15700","GO:0006351"
"AT3G03420","GO:0004222"
"AT2G22330","GO:0004497"
"AT2G22330","GO:0005506"
"AT2G22330","GO:0016705"
"AT2G22330","GO:0020037"
"AT3G07770","GO:0005524"
"AT3G07770","GO:0006457"
"AT3G07770","GO:0016887"
"AT3G07770","GO:0051082"
"AT3G07770","GO:0005524"
"AT3G07770","GO:0006457"
"AT3G07770","GO:0016887"
"AT3G07770","GO:0051082"
"AT3G07770","GO:0005524"
"AT3G07770","GO:0006457"
"AT3G07770","GO:0016887"
"AT3G07770","GO:0051082"
"AT5G45130","GO:0003924"
"AT5G45130","GO:0005525"
"AT3G13080","GO:0005524"
"AT3G13080","GO:0016021"
"AT3G13080","GO:0055085"
"AT3G13080","GO:0140359"
"AT3G13080","GO:0005524"
"AT3G13080","GO:0016021"
"AT3G13080","GO:0055085"
"AT3G13080","GO:0140359"
"AT5G19150","GO:0052855"
"AT5G19150","GO:0052855"
"AT5G38280","GO:0004672"
"AT5G38280","GO:0005524"
"AT5G38280","GO:0006468"
"AT1G62540","GO:0004499"
"AT1G62540","GO:0050660"
"AT1G62540","GO:0050661"
"AT3G16560","GO:0004722"
"AT3G16560","GO:0006470"
"AT3G16560","GO:0016791"
"AT5G39680","GO:0008270"
"AT3G03910","GO:0006520"
"AT3G03910","GO:0016491"
"AT3G03910","GO:0016639"
"AT4G11410","GO:0016491"
"AT2G46500","GO:0005515"
"AT2G46500","GO:0005515"
"AT1G11000","GO:0006952"
"AT1G11000","GO:0016021"
"AT1G23440","GO:0005829"
"AT1G23440","GO:0006508"
"AT1G23440","GO:0016920"
"AT1G23440","GO:0005829"
"AT1G23440","GO:0006508"
"AT1G23440","GO:0016920"
"AT3G14660","GO:0004497"
"AT3G14660","GO:0005506"
"AT3G14660","GO:0016705"
"AT3G14660","GO:0020037"
"AT1G77210","GO:0015145"
"AT1G77210","GO:0015749"
"AT1G77210","GO:0016021"
"AT1G77210","GO:0022857"
"AT1G77210","GO:0055085"
"AT4G23430","GO:0016491"
"AT4G13345","GO:0016020"
"AT4G33890","GO:0070461"
"AT4G33890","GO:0070461"
"AT5G21930","GO:0046872"
"AT1G76040","GO:0004672"
"AT1G76040","GO:0005524"
"AT1G76040","GO:0006468"
"AT1G76040","GO:0005509"
"AT5G08020","GO:0003677"
"AT5G08020","GO:0005634"
"AT5G08020","GO:0006260"
"AT5G08020","GO:0003676"
"AT3G12520","GO:0008272"
"AT3G12520","GO:0015116"
"AT3G12520","GO:0016021"
"AT3G12520","GO:0008271"
"AT3G12520","GO:0016020"
"AT3G12520","GO:0055085"
"AT2G38140","GO:0005840"
"AT3G01500","GO:0004089"
"AT3G01500","GO:0008270"
"AT1G65390","GO:0003953"
"AT1G65390","GO:0007165"
"AT1G66240","GO:0046872"
"AT5G37790","GO:0004672"
"AT5G37790","GO:0005524"
"AT5G37790","GO:0006468"
"AT2G25490","GO:0005515"
"AT5G22800","GO:0003676"
"AT5G22800","GO:0000166"
"AT5G22800","GO:0004813"
"AT5G22800","GO:0005524"
"AT5G22800","GO:0006419"
"AT5G22800","GO:0004812"
"AT5G22800","GO:0043039"
"AT1G18260","GO:0030433"
"AT1G18170","GO:0003755"
"AT2G45070","GO:0005784"
"AT2G45070","GO:0006886"
"AT2G45070","GO:0005784"
"AT2G45070","GO:0006886"
"AT2G45070","GO:0005784"
"AT2G45070","GO:0006886"
"AT2G45070","GO:0005784"
"AT2G45070","GO:0006886"
"AT4G13430","GO:0003861"
"AT3G17690","GO:0005216"
"AT3G17690","GO:0006811"
"AT3G17690","GO:0016020"
"AT3G17690","GO:0055085"
"AT1G51690","GO:0005515"
"AT1G51690","GO:0000159"
