gene,Atha_WT.Col.0_sl_FLT_Rep1_G1S1,Atha_WT.Col.0_sl_FLT_Rep2_G1S2,Atha_WT.Col.0_sl_FLT_Rep3_G1S3,Atha_WT.Col.0_sl_GC_Rep1_G2S1,Atha_WT.Col.0_sl_GC_Rep2_G2S2,Atha_WT.Col.0_sl_GC_Rep3_G2S3
AT1G12845,347.565478,324.4401027,294.8217416,65.53182368,119.843832,120.2780754
AT1G12850,1227.571688,1219.146078,1284.086883,816.888078,963.1893166,891.5205991
AT1G12855,2.46500339,7.487079293,6.90988457,20.33746252,11.54051716,6.501517587
AT1G12860,310.5904271,541.5654022,548.1841759,171.7385724,399.4794401,241.3688404
AT1G12870,0,1.247846549,1.151647428,6.779154174,4.438660445,2.438069095
AT1G12880,19.72002712,33.69185682,32.24612799,24.85689864,30.18289103,25.19338065
AT1G12890,30.40170848,32.44401027,25.33624342,10.16873126,23.9687664,15.44110427
AT1G12900,1201.278319,2188.722847,1953.194038,503.9171269,1393.73938,989.0433629
AT1G12910,631.0408678,632.6582003,678.3203353,873.3810294,686.2169048,989.0433629
AT1G12920,2074.711187,1442.510611,1544.359201,2524.105071,1459.431554,2037.413074
AT1G12930,740.3226848,616.4361952,596.5533679,773.9534349,581.4645183,678.5958981
AT1G12940,8.216677966,43.67462921,40.30765999,58.75266951,30.18289103,23.56800125
AT1G12950,113.3901559,74.87079293,153.169108,103.9470307,199.73972,133.2811105
AT1G12960,0,0,0,0,0,0
AT1G12970,337.7054644,467.9424558,418.0480165,660.967532,470.4980072,517.6833379
AT1G12980,8.216677966,13.72631204,12.66812171,11.29859029,11.54051716,3.250758794
AT1G12990,410.8338983,333.1750286,363.9205873,422.5672769,363.0824244,364.0849849
AT1G13000,340.9921356,346.9013406,298.2766839,333.3084136,365.7456207,347.8311909
AT1G13010,0,0,0,0,0,0
AT1G13020,622.8241899,410.5415146,429.5644908,586.3968361,387.9389229,444.541265
AT1G13030,172.5502373,133.5195807,117.4680377,125.4143522,118.0683678,125.1542136
AT1G13040,50.94340339,22.46123788,52.9757817,47.45407922,49.71299699,41.44717462
AT1G13050,79.70177627,46.17032231,66.79555084,65.53182368,62.14124623,61.76441708
AT1G13060,1824.924176,1415.057986,1373.915382,1050.768897,1313.843492,1250.729446
AT1G13080,417.4072407,358.1319595,452.5974393,999.9252407,724.3893847,946.7834986
AT1G13090,244.8570034,240.8343839,168.1405245,201.1149072,218.3820939,190.9820791
AT1G13100,232.5319864,316.9530234,254.5140817,453.0734706,427.8868669,419.3478844
